"","Pvalues","FDR","Ahealthy","Bnormal","Cfibrose","Dzirrhose","LDAscore"
"OTU1337|NN=Desulfovibrio_desulfuricans_DVURRDA|D=89",2.5068e-05,0.0047628,8462.44760624677,2510.48286950075,488.494334667348,43.9942737326595,3.62
"OTU506|NN=Christensenella_minuta_AB490809|D=83_8",6.2399e-05,0.0048236,97187.570906333,52045.1492756922,7286.47990258686,475.00243296263,4.68
"OTU916|NN=Eubacterium_siraeum_EUBRRDV|D=93_2",7.6162e-05,0.0048236,17393.7003925028,2761.75765933834,21.4443636706746,3868.71050294625,3.94
"OTU383|NN=Clostridium_populeti_X71853|D=91_5",0.00023753,0.011283,14734.2585420822,35877.5747128127,3041.57185887673,9023.65047746983,4.22
"OTU1033|NN=Ruminococcus_bromii_DQ882649|D=88",0.0003066,0.011651,2375.2152708857,260.373731840983,1194.41725549619,711.329499727706,3.02
"OTU1335|NN=Oscillibacter_valericigenes_AB238598|D=95_6",0.00043939,0.013914,3898.11656376373,3840.73352562476,1595.24954199799,1483.65348546604,3.08
"Dialister_pneumosintes",0.00060686,0.015669,0,2195.80314308171,285.697562754108,43077.0779944808,4.33
"OTU661|NN=Blautia_wexlerae_EF036467|D=94_9",0.00065975,0.015669,28024.8817821196,15003.9107284982,3482.76886188742,4462.72756529591,4.09
"OTU694|NN=Clostridium_clariflavum_NR_102987_1|D=85_2",0.0010549,0.02227,9440.38516187504,6069.24180458566,3966.53325813013,2198.76804721345,3.56
"OTU293|NN=Clostridium_glycyrrhizinilyticum_AB233029|D=91_2",0.0011866,0.022546,9076.64778195034,3506.21944381522,30.7795070376657,2307.27887656725,3.66
"OTU1689|NN=Soleaferrea_massiliensis_JX101688|D=88_9",0.0013189,0.022782,5231.73992941993,3051.8222455415,3475.82665060504,560.277041563892,3.37
"OTU342|NN=Clostridium_clariflavum_NR_102987_1|D=77_3",0.0015065,0.023852,17644.4159246064,8520.08840776765,3678.86865878213,1450.10859534348,3.91
"OTU1482|NN=Veillonella_atypica_X84007|D=96_9",0.0023425,0.033569,114489.215468368,244072.179110858,237031.899462028,1410885.47779397,5.81
"OTU1339|NN=Clostridium_clariflavum_NR_102987_1|D=76_8",0.0024735,0.033569,13615.7631275547,4655.63942077853,30733.8974395363,73.8525195105683,4.19
"OTU1240|NN=OscillospiraClostridium_viride_X81125|D=86",0.0029348,0.036122,1423.02412528051,112.232582722412,747.994393800127,0,2.85
"Parabacteroides_goldsteinii",0.0030418,0.036122,11720.6757435959,2750.28181220383,3461.66709320441,209.726669436687,3.76
"OTU902|NN=Prevotella_loescheii_AB547688|D=88_8",0.0039699,0.04437,8848.44554766887,1727.23649559518,4682.19080552405,1333.62736346102,3.58
