"Species","log2FC","lfcSE","Pvalues","FDR"
"OTU516|NN=Prevotella_copri_AB064923|D=96_6",8.7048,0.87135,1.6849e-23,3.0833e-21
"OTU790|NN=Barnesiella_intestinihominis_AB370251|D=84_6",8.3862,1.195,2.2508e-12,2.0229e-10
"OTU1482|NN=Veillonella_atypica_X84007|D=96_9",5.2395,0.75241,3.3162e-12,2.0229e-10
"Shigella_sonnei",5.5409,0.86728,1.6718e-10,7.6486e-09
"Streptococcus_infantis",3.7143,0.61933,2.007e-09,7.3457e-08
"OTU1028|NN=Ruminococcus_gnavus_JN713312|D=95_6",4.316,0.74046,5.5842e-09,1.7032e-07
"Dialister_pneumosintes",7.15,1.2758,2.092e-08,5.4692e-07
"Streptococcus_anginosus",4.8638,0.89152,4.8801e-08,1.1163e-06
"OTU1337|NN=Desulfovibrio_desulfuricans_DVURRDA|D=89",-4.2955,0.87922,1.031e-06,2.0963e-05
"Veillonella_rogosae",4.9214,1.0256,1.5972e-06,2.9228e-05
"OTU175|NN=Roseburia_hominis_AB661434|D=94_3",-3.8047,0.84872,7.3651e-06,0.00012253
"OTU1413|NN=Mesorhizobium_loti_RLU50164|D=82_1",-5.9777,1.3494,9.4257e-06,0.00014374
"OTU383|NN=Clostridium_populeti_X71853|D=91_5",-3.4457,0.79571,1.4887e-05,0.00020956
"OTU1339|NN=Clostridium_clariflavum_NR_102987_1|D=76_8",-4.5232,1.125,5.8009e-05,0.00072415
"OTU1390|NN=Parabacteroides_gordonii_AB470344|D=80_1",5.4146,1.3485,5.9357e-05,0.00072415
"OTU506|NN=Christensenella_minuta_AB490809|D=83_8",-4.2932,1.0892,8.0984e-05,0.00092626
"OTU80|NN=Eubacterium_desmolans_EUBRRDO|D=94_1",-3.3613,0.87444,0.00012109,0.0013035
"OTU902|NN=Prevotella_loescheii_AB547688|D=88_8",-3.2663,0.87679,0.00019509,0.0019834
"Paraprevotella_clara",4.1842,1.1396,0.00024108,0.002298
"OTU84|NN=Robinsoniella_peoriensis_AF445258|D=93_1",-2.8765,0.78569,0.00025115,0.002298
"Haemophilus_parainfluenzae",2.774,0.76975,0.0003137,0.0027337
"OTU767|NN=Anoxystipes_fissicatena_NR_104800_1|D=93_6",-2.6542,0.75576,0.00044492,0.0037009
"OTU252|NN=Rothia_aeria_AB753461|D=96_6",2.7715,0.80418,0.00056817,0.0043586
"OTU379|NN=Dialister_succinatiphilus_AB370249|D=96_3",-4.3774,1.2707,0.00057162,0.0043586
"Lachnoclostridium_citroniae",2.3909,0.70095,0.00064758,0.0047403
"OTU1033|NN=Ruminococcus_bromii_DQ882649|D=88",-2.4332,0.7523,0.0012193,0.0085817
"Ruminococcus_callidus",-3.3809,1.0595,0.0014173,0.0096061
"Eggerthella_lenta",2.1754,0.7577,0.0040909,0.026737
"OTU661|NN=Blautia_wexlerae_EF036467|D=94_9",-1.7994,0.63479,0.0045881,0.028952
"Dorea_longicatena",-1.5415,0.55745,0.0056883,0.034699
"OTU234|NN=Prevotella_conceptionensis_HM587326|D=87_4",2.46,0.9276,0.0080014,0.047234
"Parabacteroides_goldsteinii",-2.7714,1.0501,0.0083125,0.047537
