"","Pvalues","FDR","healthy","hepatopathy","LDAscore"
"OTU1337|NN=Desulfovibrio_desulfuricans_DVURRDA|D=89_2",4.1588e-06,0.0011949,2965.14393467718,133.990221437179,3.15
"unclassified_39",1.1394e-05,0.0011949,1447.29628909914,159.1007298356,2.81
"Clostridiales_54",1.4825e-05,0.0011949,714.088785803885,88.4381135101826,2.5
"OTU1033|NN=Ruminococcus_bromii_DQ882649|D=88",1.5985e-05,0.0011949,2371.9971095736,778.88967330366,2.9
"OTU916|NN=Eubacterium_siraeum_EUBRRDV|D=93_2",3.7992e-05,0.0022719,17308.3180193673,2580.22501294568,3.87
"Lachnoclostridium_1",7.0779e-05,0.0035272,6716.03537513701,2036.16263961669,3.37
"OTU506|NN=Christensenella_minuta_AB490809|D=83_8",0.00010072,0.0037687,96928.8031530733,10498.8758549256,4.64
"Oscillospira_4",0.00011316,0.0037687,1190.24825781089,171.369560440422,2.71
"Bacteroidales_5",0.00011344,0.0037687,4344.47941448644,358.980532450153,3.3
"Dialister_pneumosintes",0.00016115,0.0045478,0,24245.4705928647,-4.08
"OTU661|NN=Blautia_wexlerae_EF036467|D=94_9",0.00018233,0.0045478,27984.4519347178,5817.59080845309,4.04
"unclassified_4",0.00018252,0.0045478,3809.53350249854,843.668713684535,3.17
"Barnesiella_10",0.00021934,0.0049955,1929.09742993805,165.833103391647,2.95
"Lachnospiraceae_7",0.0002339,0.0049955,1696.4089013273,219.2781006565,2.87
"Bacteria_5",0.00031606,0.0060627,1152.44770787992,110.024600155433,2.72
"OTU1335|NN=Oscillibacter_valericigenes_AB238598|D=95_6",0.00032442,0.0060627,2890.23722738129,1157.4444977876,2.94
"Streptococcus_1",0.00048607,0.0085491,554.923790834455,11816.355929868,-3.75
"unclassified_3",0.00065817,0.010933,19786.2213120443,2251.08100088124,3.94
"OTU694|NN=Clostridium_clariflavum_NR_102987_1|D=85_2",0.00072285,0.011375,9424.47452992223,3311.53254175336,3.49
"Dorea_longicatena",0.00079984,0.011602,35653.7162098171,5830.40110578962,4.17
"Parabacteroides_goldsteinii",0.00090573,0.011602,11710.7142478803,1550.8755100299,3.71
"OTU84|NN=Robinsoniella_peoriensis_AF445258|D=93_1",0.00092363,0.011602,4515.33840839335,282.253317217147,3.33
"Alistipes_indistinctus",0.00092475,0.011602,13628.2772041951,4869.90332137284,3.64
"Streptococcus_anginosus",0.0010008,0.011602,62.688406136876,2773.56932621836,-3.13
"OTU902|NN=Prevotella_loescheii_AB547688|D=88_8",0.0010008,0.011602,8819.00681695256,2323.04750680301,3.51
"OTU342|NN=Clostridium_clariflavum_NR_102987_1|D=77_3",0.0010405,0.011602,17642.6950110549,3170.41868897256,3.86
"unclassified_38",0.0010501,0.011602,662.253514205648,138.204089525025,2.42
"OTU1482|NN=Veillonella_atypica_X84007|D=96_9",0.0010865,0.011602,114538.758475518,886117.148228591,-5.59
"Alistipes_obesi",0.0011511,0.011869,338158.687480424,110509.405731805,5.06
"Clostridiales_1",0.0012974,0.012931,11050.8106538631,3873.88918860068,3.56
"Eubacterium_1",0.0015838,0.015276,13381.3408866611,2620.91152438077,3.73
"OTU383|NN=Clostridium_populeti_X71853|D=91_5",0.0020171,0.018073,14728.2482084385,11487.552358434,3.21
"OTU293|NN=Clostridium_glycyrrhizinilyticum_AB233029|D=91_2",0.0020493,0.018073,9072.94635916181,1834.35472575731,3.56
"OTU286|NN=Ruminococcus_bromii_DQ882649|D=96_6",0.0020551,0.018073,2351.69594264099,1403.05652660661,2.68
"Gemmiger",0.0022488,0.019181,233833.595126134,57238.4073230751,4.95
"OTU471|NN=Clostridium_lituseburense_CLORR16SC|D=96_6",0.0023094,0.019181,282958.791151092,94715.9347568423,4.97
"OTU1683|NN=Ruminococcus_bromii_DQ882649|D=90",0.0025396,0.020522,909.592678486372,307.743105323351,2.48
"Megasphaera",0.0030743,0.02419,68.2599764014435,17309.2086478185,-3.94
"OTU1240|NN=OscillospiraClostridium_viride_X81125|D=86",0.0031986,0.024522,1408.48145547726,166.531048308364,2.79
"Lachnospiraceae",0.0035949,0.026872,57284.8641108797,24567.1893285234,4.21
"unclassified_24",0.0037926,0.027658,12569.8282776666,9231.86073225523,3.22
"OTU1339|NN=Clostridium_clariflavum_NR_102987_1|D=76_8",0.0042275,0.029484,13615.9698772082,9654.25449747882,3.3
"OTU957|NN=Anoxystipes_fissicatena_NR_104800_1|D=93_2",0.0042402,0.029484,3164.05079391936,937.938497231048,3.05
"unclassified_7",0.0054356,0.036938,597.237736085275,201.97915790655,2.3
"OTU18|NN=Ruminococcus_bromii_DQ882649|D=88_1",0.0056185,0.037332,3114.28851391148,2341.2619701226,2.59
"OTU1087|NN=Blautia_glucerasea_AB588023|D=93",0.0057562,0.037415,8025.34654452834,10084.5240892581,-3.01
"Streptococcus_infantis",0.0059164,0.037639,795.57504172784,6167.36143678552,-3.43
"Lactococcus_lactis",0.0060905,0.037939,2066.21761675347,1276.92813177331,2.6
"Turicibacter_sanguinis",0.00635,0.038748,127292.673169625,80311.1285532958,4.37
"OTU1524|NN=Anaerofilum_pentosovorans_X97852|D=90_6",0.007031,0.041672,2772.66949520497,1348.00582332513,2.85
"OTU93|NN=Ruminococcus_bromii_DQ882649|D=96_3",0.007108,0.041672,280351.850664442,201128.653987503,4.6
"Lactobacillus_salivarius",0.008185,0.046483,9223.5530538144,6896.3458720533,3.07
"OTU767|NN=Anoxystipes_fissicatena_NR_104800_1|D=93_6",0.0082395,0.046483,3199.42470986575,1344.33492861845,2.97
"OTU516|NN=Prevotella_copri_AB064923|D=96_6_3",0.0086002,0.046753,169.680341814522,1899.59961272956,-2.94
"Barnesiella_intestinihominis_1",0.0086832,0.046753,503277.566586185,144604.328364956,5.25
"Holdemania_filiformis",0.0087563,0.046753,742.366812270247,280.334548233965,2.37
"OTU169|NN=Faecalibacterium_prausnitzii_X85022|D=96_7",0.0091134,0.047805,67783.7685656121,34001.0010383875,4.23
