"","Pvalues","FDR","Statistics"
"OTU1337|NN=Desulfovibrio_desulfuricans_DVURRDA|D=89",2.3411e-05,0.0044012,24.135
"OTU506|NN=Christensenella_minuta_AB490809|D=83_8",6.2399e-05,0.0051714,22.093
"OTU916|NN=Eubacterium_siraeum_EUBRRDV|D=93_2",8.2522e-05,0.0051714,21.509
"OTU1033|NN=Ruminococcus_bromii_DQ882649|D=88",0.00024542,0.010694,19.227
"OTU383|NN=Clostridium_populeti_X71853|D=91_5",0.00028442,0.010694,18.917
"OTU1335|NN=Oscillibacter_valericigenes_AB238598|D=95_6",0.00038077,0.011931,18.304
"Dialister_pneumosintes",0.00060686,0.014621,17.322
"OTU661|NN=Blautia_wexlerae_EF036467|D=94_9",0.00062217,0.014621,17.269
"OTU694|NN=Clostridium_clariflavum_NR_102987_1|D=85_2",0.001108,0.022905,16.049
"OTU293|NN=Clostridium_glycyrrhizinilyticum_AB233029|D=91_2",0.0012471,0.022905,15.799
"OTU1689|NN=Soleaferrea_massiliensis_JX101688|D=88_9",0.0013402,0.022905,15.646
"OTU342|NN=Clostridium_clariflavum_NR_102987_1|D=77_3",0.0016346,0.025609,15.224
"OTU1482|NN=Veillonella_atypica_X84007|D=96_9",0.0022356,0.032331,14.558
"OTU1339|NN=Clostridium_clariflavum_NR_102987_1|D=76_8",0.0024735,0.033216,14.343
"OTU1240|NN=OscillospiraClostridium_viride_X81125|D=86",0.0029348,0.035741,13.978
"Parabacteroides_goldsteinii",0.0030418,0.035741,13.902
"OTU902|NN=Prevotella_loescheii_AB547688|D=88_8",0.0035049,0.03876,13.599
