"","AIH018","AIH021","AIH022","AIH035","AIH036","AIH039","AIH040","AIH043","AIH047","AIH052","AIH058","AIH059","AIH068","AIH069","AIH070","AIH071","AIH001","AIH002","AIH003","AIH005","AIH006","AIH007","AIH009","AIH011","AIH020","AIH023","AIH026","AIH027","AIH029","AIH030","AIH031","AIH032","AIH033","AIH037","AIH042","AIH046","AIH072","AIH074","AIH077"
"Actinomyces_odontolyticus",27,71,2,24,8,36,6,0,8,5,15,24,47,17,8,18,59,4,1,5,7,0,0,3,248,12,5,19,81,6,5,0,0,42,2,3,5,23,11
"Akkermansia_muciniphila",120,8,15,1043,0,8,13,0,4702,25440,3480,552,18,11800,6,1,7,16,13,3903,9,16,1,23,1,25480,0,15,3,141,2,13,57140,6,3921,8,1675,4,9123
"Alistipes_indistinctus",0,0,0,48,118,0,2,286,0,0,26,1,4,8,0,0,78,624,168,43,0,0,0,0,0,0,0,8,0,0,0,0,98,0,72,0,0,0,0
"Alistipes_marseilloanorexicus",2,3,6,1342,0,1,17,74,90,373,36,372,0,2006,58,9565,0,2602,616,254,0,0,0,0,0,1,18,3,0,3,0,0,126,0,1201,420,0,1,212
"Alistipes_obesi",2,14,51,1451,39,129,30,1060,188,352,1471,542,252,1157,1053,1,0,1255,2651,2,8,0,541,0,0,1,228,1,10,3210,2932,7,63,0,6311,1592,1,34,10160
"Alistipes_putredinis",17,26,42,10530,17850,7438,181,6364,10290,9045,7706,5017,4378,17240,8364,7,4,3890,10,6754,40,3,525,1,1,0,3497,284,11,3262,10,29,1029,0,14,36,1,355,2
"Allisonella_histaminiformans",0,406,3,0,0,0,0,0,0,0,0,0,14,40,226,116,0,0,0,0,1,0,111,0,0,3,0,215,0,12,2,0,0,0,0,1,0,0,130
"Anaerotruncus_colihominis",1,0,0,1,0,8,1,0,117,23,0,3,0,0,0,0,0,20,0,10,0,0,2,0,0,0,0,13,0,0,0,0,38,0,3,4,0,3,0
"Bacteroides_caccae",186,4171,11,167,2206,2983,28,1192,46,2,1272,2637,1440,1449,4,8177,1817,1664,74,459,25,4,128,1,1436,10360,2421,13,1,20,12,66,13760,26,13260,10,64,478,34
"Bacteroides_cellulosilyticus",0,0,4,5,3,114,25,0,8055,373,188,20,87,144,405,1288,3,0,10100,4,0,4,8,0,0,0,128,122,2,3,0,18,49,0,1,22,10,5852,1075
"Bacteroides_massiliensis",3,0,0,24,0,2,9,47,0,0,0,0,1652,3,758,0,0,0,0,0,0,0,0,0,1,0,1655,867,0,0,0,0,1,0,523,0,14,0,0
"Bacteroides_plebeius",1,26,51130,0,0,0,0,0,4,0,1942,526,169,0,0,0,0,1,0,5,10,2,0,0,0,0,0,0,3,16,0,2,0,0,0,2,2,0,0
"Bacteroides_uniformis",6488,164,13420,1274,885,4931,24,186,2506,2674,2505,2666,742,8186,3093,4712,5841,3686,6,5033,42,6,38,5,0,2548,3680,1159,8,1210,4708,14,255,0,4570,1265,61,10440,1528
"Barnesiella_intestinihominis",9,194,6,3298,5636,5,287,4640,4660,6092,10498,5133,898,2,2241,3,8018,718,7,10845,604,7,35,0,0,0,273,49,7,495,0,11,4,2,4024,16,4,2,1
"Bifidobacterium_bifidum",0,4,3,0,0,1,0,8,0,0,3,0,17,45,1,0,0,0,5,5,3,0,7,0,4263,1,111,6,4,2,0,0,0,28,10,10,0,3,6
"Bilophila_wadsworthia",0,5,0,8,0,8,1,2,1,10,4,0,67,4,10,0,5,16,10,4,5,0,6,0,0,0,2,48,0,0,0,64,20,8,0,0,0,0,0
"Bradyrhizobium_elkanii",4,12,5,0,3,4,0,1,0,0,0,2,0,0,2,0,4,0,9,0,1,0,1,0,0,0,0,4,0,5,0,3,1,5,2,2,0,1,0
"Brevundimonas_vesicularis",1,3,0,2,2,1,0,0,3,3,0,1,1,16,10,0,7,2,2,0,3,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0
"Butyricimonas_virosa",0,0,0,1,1,0,2,27,27,2,17,12,65,7,1,0,4,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,5,0,3,0
"Christensenella_minuta",0,0,0,23,0,0,0,0,21,3,0,3,0,53,37,0,51,74,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0
"Clostridium_disporicum",0,1323,5,84,0,134,0,334,3,6,130,2,41,26,155,18,560,0,108,0,16,1,0,0,1,1,0,0,0,34,5,8,0,30,0,93,6,237,131
"Clostridium_perfringens",0,46,0,0,0,32,0,248,0,0,0,0,2,12,3,0,1,1,0,0,0,12,0,0,0,38,0,0,1,5,0,0,0,7,0,0,95,0,68
"Collinsella_aerofaciens",15,1,6,54,1,28,1,83,703,5,20,4,183,27,255,35,24,10,37,6,20,0,9,0,1648,0,113,218,674,69,0,0,1,0,4103,54,0,56,20
"Coprococcus_eutactus",0,7,14,0,0,3,2,306,1,41,0,0,59,65,0,0,0,0,0,2,23,2,0,0,0,0,0,0,1,1555,0,3,0,0,0,1,0,0,0
"Dialister_pneumosintes",0,0,0,2,1,385,2,3,2,0,0,0,0,0,7,2,4,0,2,0,11,1986,0,0,42,12,35,105,365,0,0,746,0,51,0,0,0,33,0
"Dorea_longicatena",23,784,9,51,16,64,1,12,22,15,53,11,446,20,11,56,11,18,39,42,17,1,17,0,0,0,36,11,1,1,11,0,0,0,44,14,2,37,8
"Eggerthella_lenta",2,4,0,0,0,4,0,0,0,0,0,0,0,2,0,3,2,10,4,2,0,1,1,0,65,0,0,0,0,0,10,11,2,12,3,1,0,9,0
"Erysipelatoclostridium_innocuum",10,89,89,1,0,4,0,2,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,35,0,6,0,0,11,0
"Eubacterium_brachy",0,2,0,0,0,0,0,0,4,3,0,0,0,0,12,5,0,0,4,0,3,0,4,0,0,0,9,0,0,4,0,4,0,2,0,0,0,0,0
"Eubacterium_eligens",14,0,0,12,2,0,9,10,16,60,1332,0,196,228,11,62,155,331,0,13,8,0,0,1,0,3,0,0,2,0,90,0,0,385,4,41,3,960,0
"Eubacterium_siraeum",6,2,0,17,6,0,1,5,142,139,492,14,2,0,89,181,0,87,0,94,14,0,0,0,0,0,0,0,0,78,0,0,0,0,11,119,444,0,932
"Fusicatenibacter_saccharivorans",209,20,2,21,11,71,11,20,16,82,70,27,91,10,44,42,7,44,55,100,0,0,3,1,207,9,4,0,1395,56,22,0,10,2,21,6,1,424,2
"Gemella_haemolysans",6,12,0,4,1,0,0,3,0,5,0,4,0,19,9,1,2,2,13,6,0,0,0,2,13,1,0,15,15,0,0,0,0,14,3,0,0,5,0
"Granulicatella_adiacens",70,264,1,2,6,51,9,4,8,8,1,4,12,160,5,5,81,18,64,38,10,3,6,15,213,11,0,0,52,15,4,1,5,40,1,0,1,88,1
"Haemophilus_parainfluenzae",1189,1347,10,2456,244,8236,1,87,80,2,539,5,173,1,39,0,70,336,265,2,2414,0,3,0,397,22,1087,9,17,150,290,5,0,6913,4,17,0,1361,128
"Intestinibacter_bartlettii",3,1508,26,133,43,414,19,1376,1322,878,50,55,1490,1068,2274,129,372,213,1271,0,64,3,116,238,0,12,2,3,16,1053,18,7,2,2204,0,1013,5,983,1609
"Intestinimonas_butyriciproducens",5,1,144,3,0,22,1,0,22,7,0,0,0,13,0,24,6,0,3,3,0,0,0,0,0,0,0,676,0,6,22,1,11,0,0,10,0,0,8
"Kluyvera_ascorbata",0,0,28,0,0,5,3,0,4,0,0,0,6,9,0,0,10,0,0,0,37,2,2,0,0,12,0,5,2317,1,7,1225,0,0,2,6,1,0,0
"Lachnoclostridium_aldenense",20,72,0,3,0,9,0,0,3,2,0,1,0,1,0,0,0,0,1,0,0,0,0,0,16,6,0,398,0,0,0,0,3,11,4,0,0,6,1
"Lachnoclostridium_asparagiforme",2,2,48,4,1,10,0,0,25,3,0,0,1,0,0,2,0,2,0,1,0,0,2,0,0,5,0,225,0,1,0,0,2,8,9,0,0,14,2
"Lachnoclostridium_citroniae",17,262,26,1,2,51,0,0,8,1,4,0,0,0,5,0,0,1,4,5,0,0,2,67,39,2,0,65,870,4,1,0,11,26,9,2,0,53,21
"Lactobacillus_antri",12,0,0,0,0,2,0,0,1,20,13,14,5,1146,0,0,4,5,5,2,3,1,0,6,0,0,0,0,41,0,0,26,8,0,0,0,0,201,0
"Lactobacillus_rogosae",5,272,0,0,15,0,1,41,0,7,26,0,121,29,32,0,0,161,0,69,4,0,0,0,0,0,46,2,82,0,0,0,0,0,33,7,0,0,12
"Lactobacillus_salivarius",14,0,0,0,0,0,3,0,1,50,22,24,19,1231,12,14,5,0,0,0,22,5,0,3,0,0,0,0,1035,1,0,68,3,0,0,0,1,6,0
"Lactococcus_lactis",0,80,21,1,0,58,0,1,2,14,4,4,0,120,2,12,0,3,89,1,12,0,0,9,0,1,8,7,0,0,5,0,0,0,0,15,0,0,0
"Odoribacter_splanchnicus",442,598,34,143,196,669,10,795,358,358,590,56,477,465,46,642,717,714,456,567,19,0,455,0,0,0,304,63,0,79,1012,1,362,0,458,36,50,208,309
"Oscillospira_plautii",16,5,9,5,6,41,0,6,2,13,17,5,7,9,3,9,3,29,3,110,0,0,0,21,2,120,3,0,0,0,1,3,64,139,33,32,4,490,0
"OTU100.NN.Eubacterium_saphenum_GU427005.D.91",1,0,0,0,1,0,0,2,0,2,1,2,5,8,4,0,11,7,1,0,4,0,0,0,0,0,6,19,0,1,1,0,1,7,0,0,0,0,0
"OTU1000.NN.Bacteroides_vulgatus_BNRRR16SA.D.96_9",13580,35320,16930,815,729,3218,32,665,1162,687,830,1349,2032,926,4682,867,387,932,2007,1552,13,5,102,0,682,10040,9144,2519,5936,130,1687,14170,1436,5138,2526,434,35,7327,283
"OTU1028.NN.Ruminococcus_gnavus_JN713312.D.95_6",148,3379,16680,0,0,8,0,2,0,0,1,1,1,183,0,4,1,2,4,5,1,4,4,15,964,10,0,1,54,4,115,7,19,17,876,2,35,557,12
"OTU1051.NN.Christensenella_minuta_AB490809.D.87_2",0,0,1,11,21,0,7,52,34,31,82,3,23,719,8,16,44,53,0,31,6,0,44,0,0,0,627,0,0,1,31,0,2,0,0,169,6,0,59
"OTU107.NN.Blautia_glucerasea_AB588023.D.95_6",3,1,1,36,33,18,10,11,19,16,38,8,414,4,7,41,48,13,10,8,12,0,12,1,0,0,1,7,0,69,19,28,0,577,38,19,0,35,9
"OTU1087.NN.Blautia_glucerasea_AB588023.D.93",2,9,0,5,5,0,1,0,1,2,0,0,121,22,5,6,2,23,13,12,0,0,36,0,2590,0,0,4,0,16,0,0,0,0,1,0,0,0,4
"OTU1103.NN.OscillospiraPseudoflavonifractor_capillosus_AY136666.D.92_3",40,0,3,0,0,0,2,0,21,0,6,4,5,0,0,41,9,19,0,63,3,0,5,0,0,0,0,3,0,0,10,0,1,0,0,36,4,4,8
"OTU1147.NN.Clostridium_glycolicum_AY007244.D.96_3",3,460,30,1876,9,372,1,0,4,335,215,10,1407,0,182,16,2,0,1,3,6,1,9,0,0,2,1,7,10,1871,720,2,12,0,0,88,0,0,42
"OTU119.NN.Papillibacter_cinnamivorans_AF167711.D.91_1",0,0,3,23,110,0,21,164,58,6,0,27,82,215,124,141,1,0,33,453,18,0,0,0,0,0,5,0,0,107,0,0,131,0,0,17,1,0,20
"OTU1226.NN.Oscillibacter_valericigenes_AB238598.D.94_8",0,0,0,4,1,208,0,11,27,4,69,3,10,0,11,0,0,0,0,36,1,0,0,0,0,0,26,0,0,0,0,3,0,0,20,9,0,0,1
"OTU126.NN.Alistipes_marseilloanorexicus_JX101692.D.90_9",3,0,12,0,0,10,5,0,15,0,0,1,2,3,0,6357,10360,0,6273,47,4,2,0,0,0,0,48,1,0,15,13460,5,0,0,1311,728,2734,0,1215
"OTU1288.NN.Clostridium_sporosphaeroides_CLORR16SAD.D.92_8",0,0,0,2,2,0,0,0,0,3,7,0,1,14,0,1,3,3,3,17,0,0,3,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,6
"OTU1291.NN.Lactobacillus_gasseri_JQ805634.D.97",10,0,8,0,5,0,0,0,2,14,5,10,7,56,8,0,12,7,0,0,0,11,1,7,0,0,0,0,173,0,0,12,3,0,2,0,0,581,0
"OTU131.NN.Oscillibacter_valericigenes_AB238598.D.93_5",0,0,0,3,7,0,0,3,2,17,0,0,0,22,3,12,15,3,7,0,4,0,1,0,0,0,0,0,0,1,2,0,3,0,0,0,13,1,3
"OTU1335.NN.Oscillibacter_valericigenes_AB238598.D.95_6",0,0,0,9,0,0,2,41,36,1,87,0,19,10,4,3,18,22,0,247,0,0,0,0,0,0,1,15,0,5,5,0,0,0,8,45,14,8,8
"OTU1358.NN.Oscillibacter_valericigenes_AB238598.D.91_3",5,2,2,561,65,0,5,27,125,90,266,19,276,64,16,7,0,0,0,119,195,0,3,0,0,0,6,0,0,129,0,2,0,0,0,31,12,0,0
"OTU136.NN.OscillospiraPseudoflavonifractor_capillosus_AY136666.D.91_2",1,0,0,9,0,0,5,0,1,24,265,0,12,0,0,0,14,31,0,0,0,0,0,0,0,0,2,9,0,6,0,0,0,0,0,13,52,0,0
