logFC	AveExpr	t	P.Value	adj.P.Val	B	star
no_match	-0.349010227912281	-3.03418694254386	-2.35044834943451	0.0239159469136229	0.605156179770841	-4.3216686863401	
f__Enterobacteriaceae	-1.20528906964834	-Inf	-2.36630558647557	0.0242062471908336	0.605156179770841	-4.37339285058742	
f__	0.961002426870588	-Inf	1.85327141658184	0.071639508580221	0.647457398101796	-4.44609408636098	
f__Veillonellaceae	-0.706627711616505	-4.42418978539894	-1.81785214778737	0.0767931767408191	0.647457398101796	-4.45142162494722	
f__Dehalobacteriaceae	1.80426526903897	-Inf	3.03417003349612	0.012718022336237	0.605156179770841	-4.50709321824881	
f__Erysipelotrichaceae	0.598282884542852	-Inf	1.53779068847951	0.132630276716824	0.66315138358412	-4.51310993686087	
f__Fusobacteriaceae	-0.987641906805266	-Inf	-2.00830838960502	0.0599383566434971	0.647457398101796	-4.51611576517353	
f__Christensenellaceae	0.931540549768259	-Inf	1.61645546286579	0.117246343428772	0.66315138358412	-4.51995500719627	
f__Gemellaceae	-0.997209372025171	-Inf	-2.19948704674081	0.0466844862348883	0.647457398101796	-4.52188648334249	
f__Carnobacteriaceae	-0.644911668547706	-Inf	-1.55258080666511	0.131792096489794	0.66315138358412	-4.52931604541863	
f__Sphingomonadaceae	-0.351762759423919	-Inf	-1.37172293842576	0.178431765898375	0.678961564747308	-4.54393966275233	
f__Ruminococcaceae	0.428176765357584	-2.83099258966378	1.30439558687763	0.199762774637615	0.678961564747308	-4.55334805084327	
f__Lachnospiraceae	0.356223475253793	-3.31723303501071	1.28161628771606	0.207562934376504	0.678961564747308	-4.55723654732145	
f__[Tissierellaceae]	-0.821924910709856	-Inf	-1.67294044410456	0.116676524577975	0.66315138358412	-4.56050242415186	
f__Rikenellaceae	0.850529505234989	-Inf	1.25774157319669	0.216178619653391	0.678961564747308	-4.5617297803698	
f__Succinivibrionaceae	2.37223568938402	-Inf	1.86791471766477	0.0949604183882635	0.647457398101796	-4.56239040559656	
f__Campylobacteraceae	-0.800726085711103	-Inf	-1.39285226582875	0.184091908046044	0.678961564747308	-4.57165004588231	
f__Corynebacteriaceae	-0.878107089533472	-Inf	-1.46333902019107	0.169269702163392	0.678961564747308	-4.57250653033753	
f__Staphylococcaceae	-0.779703103698196	-Inf	-1.42463340291613	0.182244931035986	0.678961564747308	-4.57610551657173	
f__[Barnesiellaceae]	0.741508706717767	-Inf	1.14984379644398	0.257605019151942	0.678961564747308	-4.57895887093367	
f__[Paraprevotellaceae]	-0.76620180052326	-Inf	-1.17334461391915	0.251333199763792	0.678961564747308	-4.57971185145118	
f__Polyangiaceae	-1.22110016250609	-Inf	-2.26044435893545	0.0882484258925622	0.647457398101796	-4.58007852307023	
f__Micrococcaceae	-0.830401374999991	-Inf	-1.20505200410345	0.243868639954911	0.678961564747308	-4.58193333609873	
f__Streptococcaceae	-0.586748693706121	-Inf	-1.12833305233689	0.266461068341963	0.678961564747308	-4.58213649273528	
f__Leuconostocaceae	-2.42481322976717	-Inf	-2.69744094711416	0.0765460564143273	0.647457398101796	-4.58497061741222	
f__Myxococcaceae	-2.01638232647178	-Inf	-2.65991478411952	0.0789701801067231	0.647457398101796	-4.5850984690567	
f__[Weeksellaceae]	-0.685810417386117	-Inf	-1.20137521313215	0.260579250549872	0.678961564747308	-4.58840164592264	
f__Enterococcaceae	-0.732561055980112	-Inf	-1.11912742758321	0.285156444048583	0.689894622698184	-4.59056412247038	
f__0319-6G20	-2.32714433921354	-Inf	-2.15428105505602	0.170284911233902	0.678961564747308	-4.59060858106703	
f__Flavobacteriaceae	-1.2987825703894	-Inf	-1.54597787581035	0.222708424710159	0.678961564747308	-4.59081831822017	
f__Deinococcaceae	-1.63804202119917	-Inf	-1.27904110192341	0.271584625898923	0.678961564747308	-4.59138491864942	
f__Hyphomicrobiaceae	1.43341474001993	-Inf	1.32693884364155	0.321217087587591	0.730038835426344	-4.59344591510592	
f__Eubacteriaceae	-0.545803630133163	-Inf	-1.05326498877441	0.319955901059418	0.730038835426344	-4.59363975386718	
f__Pseudoalteromonadaceae	-1.12160355045357	-Inf	-1.16305634956961	0.331355708259568	0.730931709396105	-4.59377998432819	
f__Planococcaceae	-0.848827323336114	-Inf	-1.12034929823304	0.34654208273039	0.742590177279407	-4.59413403380052	
f__Alteromonadaceae	0.877782649149593	-Inf	0.986439551100447	0.398772858741467	0.766870882195129	-4.59525812537872	
