"rownames.data."	"AIH"	"control"	"healthy"	"average"	"color"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"species"	"genus"	"family"	"order"	"class"	"phylum"
"OTU_14"	"OTU_14"	0.836674641427148	2.0031455963185	0.428614708226494	1.08947831532405	"control"	1.38798920434314	1.16556590404247	2.61696682318324	0.0113559722245164	0.444217603189232	"s__dispar"	"g__Veillonella"	"f__Veillonellaceae"	"o__Clostridiales"	"c__Clostridia"	"p__Firmicutes"
"OTU_34"	"OTU_34"	0.0934393297505426	0.846477359137614	0.0515424101480482	0.330486366345402	"control"	0.775782071456997	0.378333005672185	3.17204535721064	0.00244512147383689	0.334926303087155	"s__coli"	"g__Escherichia"	"f__Enterobacteriaceae"	"o__Enterobacteriales"	"c__Gammaproteobacteria"	"p__Proteobacteria"
"OTU_173"	"OTU_173"	0.164945239242813	0.253776634087044	0.0123295805190426	0.143683817949633	"control"	0.171679895294278	0.150176697271532	2.24228659759503	0.0288758310776047	0.544515671749118	"s__"	"g__Streptococcus"	"f__Streptococcaceae"	"o__Lactobacillales"	"c__Bacilli"	"p__Firmicutes"
"OTU_448"	"OTU_448"	0.0085596795450881	0.14448164176774	0.0106084088073606	0.054549910040063	"control"	0.134809794908847	0.0631309034606774	2.06295061156609	0.0437136307493948	0.599047932312182	"s__pullicaecorum"	"g__Butyricicoccus"	"f__Ruminococcaceae"	"o__Clostridiales"	"c__Clostridia"	"p__Firmicutes"
"OTU_703"	"OTU_703"	0.00350217356859498	0.0933975232651095	0.0079663860683212	0.0349553609673419	"control"	0.087471920053806	0.0406127439222955	2.68620577145196	0.00946688157722511	0.444217603189232	"s__dispar"	"g__Veillonella"	"f__Veillonellaceae"	"o__Clostridiales"	"c__Clostridia"	"p__Firmicutes"
"OTU_1089"	"OTU_1089"	0.0196603205009315	0.0385984352896941	0.000729518862863864	0.0196627582178298	"control"	0.0292148356779993	0.0209687930702117	2.28764208580439	0.0259138418846955	0.515280614675386	"s__"	"g__Streptococcus"	"f__Streptococcaceae"	"o__Lactobacillales"	"c__Bacilli"	"p__Firmicutes"
"OTU_1231"	"OTU_1231"	0.0717685916038094	0.0967321951502929	0.0667863876789313	0.0784290581443445	"control"	0.0276682285342745	0.0800358503451273	2.37068122333965	0.021182669743683	0.493431601088146	NA	NA	NA	NA	NA	NA
"OTU_1228"	"OTU_1228"	0.0755041872954551	0.0910412323548144	0.0673375737615403	0.0779609978039366	"control"	0.0199703495491988	0.0789901593509875	2.0522913640449	0.0447740681614959	0.599047932312182	NA	NA	NA	NA	NA	"p__Proteobacteria"
"OTU_1244"	"OTU_1244"	0.0445616192373682	0.0623181997252858	0.0439306866596418	0.0502701685407653	"control"	0.0180990867443976	0.051396337034701	2.55453450729232	0.0133474590930315	0.444217603189232	NA	NA	NA	NA	NA	"p__Proteobacteria"
"OTU_5545"	"OTU_5545"	0.0114221128809518	0.0187082809356314	0.010687738396949	0.0136060440711774	"control"	0.00768482848885258	0.0140708844337376	3.15934681357894	0.00253732047793299	0.334926303087155	NA	NA	NA	NA	NA	"p__Proteobacteria"
