logFC	AveExpr	t	P.Value	adj.P.Val	B	star
c__Gammaproteobacteria	1.51422372340983	-Inf	4.27935982381848	0.000116657789149388	0.00268312915043594	1.04128423018275	 * *
c__Fusobacteriia	1.67135548126374	-Inf	3.38935668044411	0.00273224051990527	0.0314207659789106	-1.56921468291459	 *
c__Opitutae	-1.52412379551268	-Inf	-1.986339676723	0.071896247887149	0.495343049062239	-4.0493278293329	
c__[Lentisphaeria]	-1.27445698555057	-Inf	-1.83458682732681	0.0861466172282154	0.495343049062239	-4.37371110524932	
c__Synergistia	0.760745677853848	-Inf	0.812194500820826	0.437076145058141	0.773288564333633	-5.1616725384933	
c__Alphaproteobacteria	-0.374007967665905	-6.20723482902342	-1.5608121165077	0.126396727445122	0.58142494624756	-5.26126924859344	
c__Bacteroidia	0.294294900232639	-1.69514075460057	1.38806349940433	0.172753001202406	0.602545679150328	-5.50240599618584	
c__Deltaproteobacteria	-0.44704156727767	-Inf	-1.27875092416676	0.209581105791419	0.602545679150328	-5.55234567210127	
c__Clostridia	-0.249306115442493	-1.12616862005631	-1.32179626499647	0.19369911386586	0.602545679150328	-5.58812276174474	
c__Deinococci	0.114179066601001	-Inf	0.153229318514959	0.880930699630451	0.920973004159108	-5.60930066906104	
c__RF3	0.214530197665644	-Inf	0.406183161656856	0.689905909011459	0.875457395448126	-5.70819446425266	
c__Flavobacteriia	-0.250583986669692	-Inf	-0.571799834604792	0.573749812692264	0.834348866051201	-5.85891110062757	
c__Actinobacteria	0.405336369638636	-6.84493304162068	1.07773446343121	0.287568766086456	0.715751338215454	-5.87029955737484	
c__Deferribacteres	0.140226285916936	-Inf	0.276751848385462	0.784644380469419	0.875457395448126	-5.89648502880239	
c__Coriobacteriia	0.288699077516695	-Inf	1.02595011931278	0.311196234006719	0.715751338215454	-5.90624055463241	
c__Epsilonproteobacteria	0.0507693821708267	-Inf	0.075735327120652	0.9403728044529	0.9403728044529	-5.98016350697026	
c__Betaproteobacteria	0.241287435298966	-Inf	0.941408237806928	0.352253625932241	0.736530308767413	-5.98727211392266	
c__Verrucomicrobiae	0.437361361994042	-Inf	0.833888119129068	0.410121839696139	0.773288564333633	-5.99641334771983	
c__4C0d-2	0.133925434590791	-Inf	0.258611898604957	0.79803095708711	0.875457395448126	-6.05909407008	
c__Mollicutes	-0.275600629401428	-Inf	-0.382439287825877	0.704997483768171	0.875457395448126	-6.12317970598542	
c__Chloroplast	0.112723213115133	-Inf	0.256710132833854	0.799330665409159	0.875457395448126	-6.17204838649998	
c__Erysipelotrichi	0.225935115917122	-6.95344364072035	0.722342700700381	0.474259713017422	0.77914095710005	-6.18325803940409	
c__Bacilli	0.159998262941305	-5.56986654777587	0.557287995027565	0.580416602470401	0.834348866051201	-6.28768840492263	
c__Elusimicrobia	NA	-Inf	NA	NA	NA	NA	NA
