logFC	AveExpr	t	P.Value	adj.P.Val	B	star
f__Prevotellaceae	1.94624610169134	-Inf	3.22598200230087	0.00276454847752992	0.134469435335976	-1.60188889211472	
f__Pasteurellaceae	1.53138654219161	-Inf	3.18809210973153	0.00358585160895936	0.134469435335976	-1.81293499803611	
f__Veillonellaceae	1.08054589153689	-5.4275010040657	2.90522110831058	0.00630545220494283	0.157636305123571	-2.28105393979396	
f__Fusobacteriaceae	1.24611988333584	-Inf	2.7668174496297	0.0142570941052922	0.267320514474229	-2.90417420829546	
f__Lachnospiraceae	-0.389205992950321	-2.89586927064771	-2.31370731820593	0.0266433630480855	0.399650445721283	-3.4434096860393	
f__	-0.996844045592727	-4.8509491314093	-2.19663389982769	0.0347220511530991	0.434025639413738	-3.65216578003064	
f__Dehalobacteriaceae	1.30166539199827	-Inf	2.05670631821756	0.0535639502791951	0.467763444483592	-3.81935610929294	
f__Streptococcaceae	0.773738600973976	-7.64946337600241	2.06653535564243	0.0461968303939793	0.467763444483592	-3.87478037366678	
f__Peptococcaceae	0.788675002316876	-Inf	2.05858608833022	0.0615541293263362	0.467763444483592	-3.87633550328134	
f__Staphylococcaceae	0.633621328967757	-Inf	1.99306016935193	0.062368459264479	0.467763444483592	-3.91542824217845	
f__[Cerasicoccaceae]	-1.52412379551268	-Inf	-2.11051014154095	0.0778510050501455	0.485885005014197	-4.01998911490696	
f__Enterococcaceae	0.913922551296945	-Inf	1.88965046681541	0.0875437605233951	0.485885005014197	-4.07562767106604	
f__Victivallaceae	-1.27445698555057	-Inf	-1.76363213256443	0.10768057014023	0.538402850701149	-4.19772601371684	
f__Moraxellaceae	0.627413929466753	-Inf	1.77242256572359	0.0906985342693168	0.485885005014197	-4.22682817617363	
f__Ruminococcaceae	-0.37370876797302	-2.3756076129745	-1.8465755501245	0.0732309836324305	0.485885005014197	-4.22727018015232	
f__[Tissierellaceae]	-0.944546422698026	-Inf	-1.45566523053043	0.167241207634109	0.707969914266904	-4.49611805426718	
f__Flavobacteriaceae	-0.812274646212691	-Inf	-1.16259106846079	0.28780438011682	0.752607713007739	-4.59093202385136	
f__Leuconostocaceae	-0.933530470938201	-Inf	-1.08442970880555	0.325900467702042	0.752607713007739	-4.62158315932772	
f__Aerococcaceae	1.35088313890061	-Inf	1.11322783487191	0.325272949427646	0.752607713007739	-4.62445405703404	
f__Xanthomonadaceae	1.07874466121057	-Inf	1.10465472106144	0.328580018891481	0.752607713007739	-4.62834802675171	
f__Carnobacteriaceae	0.563135628244521	-Inf	1.50372630745869	0.143771061846853	0.673926852407125	-4.6374969286906	
f__Micromonosporaceae	0.975233665808093	-Inf	0.970838612009979	0.399219128384692	0.787932490232944	-4.64765843061742	
