"","AIH","healthy","nonAIHhepControl"
"Actinomyces_odontolyticus",316,421,541
"Akkermansia_muciniphila",47206,32072,101520
"Alistipes_indistinctus",493,2386,1091
"Alistipes_marseilloanorexicus",13945,12680,5457
"Alistipes_obesi",7792,59552,29007
"Alistipes_putredinis",104495,66019,19758
"Anaerotruncus_colihominis",154,128,93
"Bacteroides_caccae",25971,15491,46133
"Bacteroides_cellulosilyticus",10711,14381,17401
"Bacteroides_massiliensis",2498,7180,3061
"Bacteroides_plebeius",53798,35,43
"Bacteroides_uniformis",54456,156533,46103
"Barnesiella_intestinihominis",43602,105669,25122
"Bifidobacterium_bifidum",82,277,4464
"Bilophila_wadsworthia",120,782,188
"Bradyrhizobium_elkanii",33,45,38
"Butyricimonas_virosa",162,365,73
"Christensenella_minuta",140,23,177
"Clostridium_disporicum",2261,3651,1231
"Collinsella_aerofaciens",1421,1965,7062
"Coprococcus_eutactus",498,823,1587
"Dialister_pneumosintes",404,0,3392
"Dorea_longicatena",1594,5171,310
"Eggerthella_lenta",15,94,133
"Eubacterium_brachy",26,33,30
"Eubacterium_eligens",1952,2171,1996
"Eubacterium_siraeum",1096,1967,1779
"Fusicatenibacter_saccharivorans",747,5898,2369
"Gemella_haemolysans",64,38,91
"Granulicatella_adiacens",610,374,667
"Haemophilus_parainfluenzae",14409,1216,13490
"Holdemania_filiformis",64,136,24
"Intestinibacter_bartlettii",10788,21976,9204
"Intestinimonas_butyriciproducens",242,871,746
"Kluyvera_ascorbata",55,3068,3627
"Lachnoclostridium_aldenense",111,238,446
"Lachnoclostridium_asparagiforme",98,49,271
"Lachnoclostridium_citroniae",377,230,1182
"Lachnoclostridium_scindens",62,134,76
"Lactobacillus_antri",1213,538,302
"Lactobacillus_rogosae",549,738,416
"Lactobacillus_salivarius",1390,1579,1149
"Lactococcus_lactis",319,353,150
"Odoribacter_splanchnicus",5879,16879,5810
"Oscillospira_plautii",153,730,1057
"OTU100.NN.Eubacterium_saphenum_GU427005.D.91",26,76,58
"OTU1000.NN.Bacteroides_vulgatus_BNRRR16SA.D.96_9",83824,67348,66485
"OTU1028.NN.Ruminococcus_gnavus_JN713312.D.95_6",20407,1741,2709
"OTU1033.NN.Ruminococcus_bromii_DQ882649.D.88",103,394,165
"OTU1051.NN.Christensenella_minuta_AB490809.D.87_2",1008,2214,1073
"OTU107.NN.Blautia_glucerasea_AB588023.D.95_6",660,3481,906
"OTU1087.NN.Blautia_glucerasea_AB588023.D.93",179,1150,2701
"OTU1103.NN.OscillospiraPseudoflavonifractor_capillosus_AY136666.D.92_3",122,168,165
"OTU1147.NN.Clostridium_glycolicum_AY007244.D.96_3",4920,8778,2777
"OTU1160.NN.Clostridium_methylpentosum_Y18181.D.94_6",30,119,80
"OTU117.NN.Clostridium_bolteae_AJ508452.D.90_7",95,888,34
"OTU119.NN.Papillibacter_cinnamivorans_AF167711.D.91_1",974,1586,786
"OTU1226.NN.Oscillibacter_valericigenes_AB238598.D.94_8",348,149,96
"OTU1240.NN.OscillospiraClostridium_viride_X81125.D.86",23,246,19
"OTU126.NN.Alistipes_marseilloanorexicus_JX101692.D.90_9",6408,65657,36203
"OTU1288.NN.Clostridium_sporosphaeroides_CLORR16SAD.D.92_8",30,41,39
"OTU1291.NN.Lactobacillus_gasseri_JQ805634.D.97",125,213,809
"OTU131.NN.Oscillibacter_valericigenes_AB238598.D.93_5",69,62,53
"OTU1335.NN.Oscillibacter_valericigenes_AB238598.D.95_6",212,664,396
"OTU1337.NN.Desulfovibrio_desulfuricans_DVURRDA.D.89",132,1419,12
"OTU1339.NN.Clostridium_clariflavum_NR_102987_1.D.76_8",2802,2170,17
"OTU1358.NN.Oscillibacter_valericigenes_AB238598.D.91_3",1530,1040,497
"OTU136.NN.OscillospiraPseudoflavonifractor_capillosus_AY136666.D.91_2",317,339,127
"OTU1376.NN.Acinetobacter_septicus_EF611418.D.96",54,93,48
"OTU1387.NN.Alistipes_timonensis_JF824799.D.96_6",4395,28446,10459
"OTU1390.NN.Parabacteroides_gordonii_AB470344.D.80_1",521,72,23761
"OTU1413.NN.Mesorhizobium_loti_RLU50164.D.82_1",971,14619,21390
"OTU1424.NN.Dorea_formicigenerans_EUBRRDP.D.96_7",553,1474,1530
"OTU1482.NN.Veillonella_atypica_X84007.D.96_9",34958,21448,211555
"OTU1491.NN.Eubacterium_sulci_AJ006963.D.90_3",293,793,599
"OTU1513.NN.Christensenella_minuta_AB490809.D.84_3",27,60,53
"OTU152.NN.Oscillibacter_valericigenes_AB238598.D.94_3",23054,26762,14040
"OTU1524.NN.Anaerofilum_pentosovorans_X97852.D.90_6",160,516,265
"OTU1527.NN.OscillospiraPseudoflavonifractor_capillosus_AY136666.D.93_9",549,755,837
"OTU1536.NN.Eubacterium_ventriosum_EUBRRDAB.D.95_6",2246,2230,1034
"OTU1551.NN.Clostridium_sporosphaeroides_CLORR16SAD.D.91_1",109,401,324
"OTU1552.NN.Catabacter_hongkongensis_AB671763.D.82_8",196,165,55
"OTU156.NN.Oscillibacter_valericigenes_AB238598.D.95_3",6802,3679,4133
"OTU1560.NN.Oscillibacter_valericigenes_AB238598.D.90_2",41,64,86
"OTU1568.NN.Clostridium_sporosphaeroides_CLORR16SAD.D.93_7",49,26,98
"OTU1592.NN.Christensenella_minuta_AB490809.D.88_2",152,76,70
"OTU160.NN.Intestinimonas_butyriciproducens_JX101685_1.D.91_4",7510,7361,2335
"OTU1615.NN.Eubacterium_ventriosum_EUBRRDAB.D.95_1",129,202,294
"OTU1616.NN.Fusicatenibacter_saccharivorans_AB698912.D.90_2",1122,4983,5510
