"","AIH018","AIH021","AIH022","AIH035","AIH036","AIH039","AIH040","AIH043","AIH047","AIH052","AIH058","AIH059","AIH068","AIH069","AIH070","AIH071","AIH049","AIH050","AIH051","AIH053","AIH054","AIH055","AIH056","AIH057","AIH060","AIH061","AIH062","AIH063","AIH064","AIH065","AIH066","AIH076","AIH081","AIH082","AIH083","AIH001","AIH002","AIH003","AIH005","AIH006","AIH007","AIH009","AIH011","AIH020","AIH023","AIH026","AIH027","AIH029","AIH030","AIH031","AIH032","AIH033","AIH037","AIH042","AIH046","AIH072","AIH074","AIH077"
"Actinomyces_odontolyticus",27,71,2,24,8,36,6,0,8,5,15,24,47,17,8,18,41,1,6,31,17,10,1,6,16,10,2,15,53,74,12,11,30,77,8,59,4,1,5,7,0,0,3,248,12,5,19,81,6,5,0,0,42,2,3,5,23,11
"Akkermansia_muciniphila",120,8,15,1043,0,8,13,0,4702,25440,3480,552,18,11800,6,1,19,6615,1378,185,12890,31,60,2108,2084,561,2002,598,287,110,1197,6,0,3,1938,7,16,13,3903,9,16,1,23,1,25480,0,15,3,141,2,13,57140,6,3921,8,1675,4,9123
"Alistipes_indistinctus",0,0,0,48,118,0,2,286,0,0,26,1,4,8,0,0,20,0,264,257,61,194,62,108,87,28,38,289,206,484,0,253,35,0,0,78,624,168,43,0,0,0,0,0,0,0,8,0,0,0,0,98,0,72,0,0,0,0
"Alistipes_marseilloanorexicus",2,3,6,1342,0,1,17,74,90,373,36,372,0,2006,58,9565,19,0,8,660,4019,0,2614,608,471,0,37,881,499,1603,1215,2,0,0,44,0,2602,616,254,0,0,0,0,0,1,18,3,0,3,0,0,126,0,1201,420,0,1,212
"Alistipes_obesi",2,14,51,1451,39,129,30,1060,188,352,1471,542,252,1157,1053,1,3532,4164,5203,3832,5711,1,3496,37,3406,616,436,4052,5962,6787,9456,7,2318,294,242,0,1255,2651,2,8,0,541,0,0,1,228,1,10,3210,2932,7,63,0,6311,1592,1,34,10160
"Alistipes_putredinis",17,26,42,10530,17850,7438,181,6364,10290,9045,7706,5017,4378,17240,8364,7,1110,0,8228,7206,76,2,13780,11,2635,262,3461,6323,31,4379,11750,19,6070,1,675,4,3890,10,6754,40,3,525,1,1,0,3497,284,11,3262,10,29,1029,0,14,36,1,355,2
"Anaerotruncus_colihominis",1,0,0,1,0,8,1,0,117,23,0,3,0,0,0,0,0,2,82,0,3,8,0,0,3,0,4,2,0,2,1,1,18,1,1,0,20,0,10,0,0,2,0,0,0,0,13,0,0,0,0,38,0,3,4,0,3,0
"Bacteroides_caccae",186,4171,11,167,2206,2983,28,1192,46,2,1272,2637,1440,1449,4,8177,398,2879,576,1986,248,1704,1571,9,100,1157,566,56,1375,73,2125,6,70,1,591,1817,1664,74,459,25,4,128,1,1436,10360,2421,13,1,20,12,66,13760,26,13260,10,64,478,34
"Bacteroides_cellulosilyticus",0,0,4,5,3,114,25,0,8055,373,188,20,87,144,405,1288,146,2,979,125,1739,0,31,7,7,349,31,1620,1810,1,1,7531,0,0,2,3,0,10100,4,0,4,8,0,0,0,128,122,2,3,0,18,49,0,1,22,10,5852,1075
"Bacteroides_massiliensis",3,0,0,24,0,2,9,47,0,0,0,0,1652,3,758,0,1278,1719,1,1,0,0,340,135,3,2663,0,0,1,0,0,0,0,0,1039,0,0,0,0,0,0,0,0,1,0,1655,867,0,0,0,0,1,0,523,0,14,0,0
"Bacteroides_plebeius",1,26,51130,0,0,0,0,0,4,0,1942,526,169,0,0,0,1,0,9,6,1,1,0,9,2,1,0,0,5,0,0,0,0,0,0,0,1,0,5,10,2,0,0,0,0,0,0,3,16,0,2,0,0,0,2,2,0,0
"Bacteroides_uniformis",6488,164,13420,1274,885,4931,24,186,2506,2674,2505,2666,742,8186,3093,4712,2287,12940,2603,749,4820,15480,11230,200,6257,1479,329,21430,5841,4522,19100,38780,5164,1,3321,5841,3686,6,5033,42,6,38,5,0,2548,3680,1159,8,1210,4708,14,255,0,4570,1265,61,10440,1528
"Barnesiella_intestinihominis",9,194,6,3298,5636,5,287,4640,4660,6092,10498,5133,898,2,2241,3,664,10262,1180,5233,1054,1,10578,98,17457,528,1933,1078,25921,8183,15731,165,4349,1253,1,8018,718,7,10845,604,7,35,0,0,0,273,49,7,495,0,11,4,2,4024,16,4,2,1
"Bifidobacterium_bifidum",0,4,3,0,0,1,0,8,0,0,3,0,17,45,1,0,44,0,0,22,0,0,0,40,2,9,17,0,19,11,0,0,0,113,0,0,0,5,5,3,0,7,0,4263,1,111,6,4,2,0,0,0,28,10,10,0,3,6
"Bilophila_wadsworthia",0,5,0,8,0,8,1,2,1,10,4,0,67,4,10,0,227,35,4,13,11,0,6,21,0,377,29,0,12,23,10,0,14,0,0,5,16,10,4,5,0,6,0,0,0,2,48,0,0,0,64,20,8,0,0,0,0,0
"Bradyrhizobium_elkanii",4,12,5,0,3,4,0,1,0,0,0,2,0,0,2,0,0,0,0,6,0,3,0,0,0,0,0,30,0,0,0,4,2,0,0,4,0,9,0,1,0,1,0,0,0,0,4,0,5,0,3,1,5,2,2,0,1,0
"Butyricimonas_virosa",0,0,0,1,1,0,2,27,27,2,17,12,65,7,1,0,1,10,0,1,66,0,0,0,214,0,1,1,0,34,0,0,9,0,28,4,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,5,0,3,0
"Christensenella_minuta",0,0,0,23,0,0,0,0,21,3,0,3,0,53,37,0,0,0,3,0,0,0,1,0,0,0,4,0,0,0,0,0,8,0,7,51,74,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0
"Clostridium_disporicum",0,1323,5,84,0,134,0,334,3,6,130,2,41,26,155,18,14,7,93,62,38,9,6,2687,10,144,3,26,28,13,1,0,124,382,4,560,0,108,0,16,1,0,0,1,1,0,0,0,34,5,8,0,30,0,93,6,237,131
"Collinsella_aerofaciens",15,1,6,54,1,28,1,83,703,5,20,4,183,27,255,35,341,16,83,303,63,10,34,7,3,399,51,33,507,56,0,0,6,0,53,24,10,37,6,20,0,9,0,1648,0,113,218,674,69,0,0,1,0,4103,54,0,56,20
"Coprococcus_eutactus",0,7,14,0,0,3,2,306,1,41,0,0,59,65,0,0,106,0,257,0,0,0,0,0,0,37,36,0,0,0,0,0,198,39,150,0,0,0,2,23,2,0,0,0,0,0,0,1,1555,0,3,0,0,0,1,0,0,0
"Dialister_pneumosintes",0,0,0,2,1,385,2,3,2,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,11,1986,0,0,42,12,35,105,365,0,0,746,0,51,0,0,0,33,0
"Dorea_longicatena",23,784,9,51,16,64,1,12,22,15,53,11,446,20,11,56,497,100,16,59,14,27,61,63,54,200,28,37,69,16,33,1,50,110,3736,11,18,39,42,17,1,17,0,0,0,36,11,1,1,11,0,0,0,44,14,2,37,8
"Eggerthella_lenta",2,4,0,0,0,4,0,0,0,0,0,0,0,2,0,3,7,0,4,0,1,3,5,0,3,2,0,0,1,1,4,0,3,60,0,2,10,4,2,0,1,1,0,65,0,0,0,0,0,10,11,2,12,3,1,0,9,0
"Eubacterium_brachy",0,2,0,0,0,0,0,0,4,3,0,0,0,0,12,5,0,0,0,9,1,0,0,0,0,0,11,0,5,7,0,0,0,0,0,0,0,4,0,3,0,4,0,0,0,9,0,0,4,0,4,0,2,0,0,0,0,0
"Eubacterium_eligens",14,0,0,12,2,0,9,10,16,60,1332,0,196,228,11,62,908,3,50,73,1,365,78,1,196,0,36,264,57,12,14,0,91,14,8,155,331,0,13,8,0,0,1,0,3,0,0,2,0,90,0,0,385,4,41,3,960,0
"Eubacterium_siraeum",6,2,0,17,6,0,1,5,142,139,492,14,2,0,89,181,169,319,104,905,0,0,20,0,14,3,31,2,5,51,10,1,0,0,333,0,87,0,94,14,0,0,0,0,0,0,0,0,78,0,0,0,0,11,119,444,0,932
"Fusicatenibacter_saccharivorans",209,20,2,21,11,71,11,20,16,82,70,27,91,10,44,42,1093,24,100,160,132,27,290,10,0,314,32,132,86,33,18,0,30,1038,2379,7,44,55,100,0,0,3,1,207,9,4,0,1395,56,22,0,10,2,21,6,1,424,2
"Gemella_haemolysans",6,12,0,4,1,0,0,3,0,5,0,4,0,19,9,1,5,0,0,0,4,0,1,5,0,1,0,1,7,1,1,12,0,0,0,2,2,13,6,0,0,0,2,13,1,0,15,15,0,0,0,0,14,3,0,0,5,0
"Granulicatella_adiacens",70,264,1,2,6,51,9,4,8,8,1,4,12,160,5,5,22,2,4,35,16,1,10,13,15,2,42,12,165,7,2,18,8,0,0,81,18,64,38,10,3,6,15,213,11,0,0,52,15,4,1,5,40,1,0,1,88,1
"Haemophilus_parainfluenzae",1189,1347,10,2456,244,8236,1,87,80,2,539,5,173,1,39,0,27,0,36,6,0,20,0,10,43,0,634,20,75,13,181,28,52,54,17,70,336,265,2,2414,0,3,0,397,22,1087,9,17,150,290,5,0,6913,4,17,0,1361,128
