"","AIH018","AIH021","AIH022","AIH035","AIH036","AIH039","AIH040","AIH043","AIH047","AIH052","AIH058","AIH059","AIH068","AIH069","AIH070","AIH071","AIH049","AIH050","AIH051","AIH053","AIH054","AIH055","AIH056","AIH057","AIH060","AIH061","AIH062","AIH063","AIH064","AIH065","AIH066","AIH076","AIH081","AIH082","AIH083","AIH001","AIH002","AIH003","AIH005","AIH006","AIH007","AIH009","AIH011","AIH020","AIH023","AIH026","AIH027","AIH029","AIH030","AIH031","AIH032","AIH033","AIH037","AIH042","AIH046","AIH072","AIH074","AIH077"
"Acinetobacter",2,1,7,8,0,0,0,0,2,2,0,3,0,11,17,1,0,2,6,14,6,4,1,30,0,0,7,4,2,5,2,5,0,5,0,14,6,0,1,1,2,0,7,0,0,0,0,0,7,0,0,0,1,0,8,0,0,1
"Actinomyces",27,71,2,24,12,36,6,0,8,5,15,24,51,22,8,18,46,1,6,31,19,10,1,6,17,12,2,18,55,74,12,11,31,82,11,62,4,2,10,7,0,1,3,258,12,5,20,113,8,5,1,0,42,3,4,5,27,11
"Akkermansia",120,8,15,1043,0,8,13,0,4702,25440,3480,552,18,11800,6,1,19,6615,1378,185,12890,31,60,2108,2084,561,2002,598,287,110,1197,6,0,3,1938,7,16,13,3903,9,16,1,23,1,25480,0,15,3,141,2,13,57140,6,3921,8,1675,4,9123
"Alistipes",4006,68,3334,15074,20139,10249,289,9035,16109,10952,15281,9404,6463,21751,10782,41525,5808,15192,39387,14302,22894,27028,34217,15495,12498,1287,5501,15798,35469,17388,27582,2466,13145,301,2128,31821,11498,26276,15728,188,10,1230,4,2,7,5151,363,29,7450,39334,63,12419,3491,15302,4196,3423,606,12286
"Anaerofilum",0,0,0,2,1,0,1,0,3,5,3,0,4,18,0,0,3,4,0,26,0,0,1,19,7,9,1,3,0,41,0,0,0,0,2,1,16,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,9
"Anaerotruncus",1,0,0,1,0,8,1,0,117,23,0,3,0,0,0,0,0,2,82,0,3,8,0,0,3,0,4,2,0,2,1,1,18,1,1,0,20,0,10,0,0,2,0,0,0,0,13,0,0,0,0,38,0,3,4,0,3,0
"Atopobium",7,12,2,6,5,14,1,0,8,0,0,0,0,6,0,2,0,0,2,3,5,5,0,0,0,0,0,0,11,0,0,4,6,0,1,56,9,3,2,10,0,0,0,6,1,0,1,16,0,0,0,0,3,1,0,1,6,0
"Bacteroides",29037,48745,81572,2986,4788,23416,182,3185,14481,5418,7478,11137,8280,14271,14564,20709,9829,30901,13280,9506,22609,24022,15016,4404,14669,12423,1502,27863,13566,9113,28150,90389,18452,8121,12883,14000,13482,14627,9320,135,30,441,997,2122,25466,23111,5023,25371,3064,7745,26430,18660,8612,29144,2278,312,52355,6148
"Barnesiella",11,287,6,3298,6547,400,287,4684,4849,6235,10644,5141,1099,243,2314,3,809,10531,1205,5669,2370,90,11228,217,17817,640,1968,1218,26514,9136,15843,168,4349,1253,427,8033,812,2973,11081,612,7,38,7,0,0,707,50,7,497,0,12,110,2,4038,45,72,613,35
"Bifidobacterium",13,24,7710,9,94,51,7,443,143,369,191,26,229,207,917,267,1754,7,121,327,428,2,28,407,161,291,111,32,186,366,343,2,114,12773,8665,105,4,26,90,70,10,156,93,32593,6,4065,47,2915,1192,0,19,28,513,1838,57,6,53,274
"Bilophila",0,5,0,8,0,8,1,2,1,10,4,0,67,4,10,0,227,35,4,13,11,0,6,21,0,377,29,0,12,23,10,0,14,0,0,5,16,10,4,5,0,6,0,0,0,2,48,0,0,0,64,20,8,0,0,0,0,0
"Blautia",168,5622,16694,162,99,267,50,42,44,76,67,160,480,224,147,139,1348,100,131,335,99,22,204,150,111,648,151,765,154,49,660,7,142,2712,252,86,151,13,65,17,4,35,15,964,11,30,16,462,20,174,7,80,47,5085,49,41,2602,46
"Bradyrhizobium",4,12,5,0,3,4,0,1,0,0,0,2,0,0,2,0,0,0,0,6,0,3,0,0,0,0,0,30,0,0,0,4,2,0,0,4,0,9,0,1,0,1,0,0,0,0,4,0,5,0,3,1,5,2,2,0,1,0
"Brevundimonas",3,0,1,2,0,1,0,1,3,2,0,0,1,0,10,0,2,2,2,4,3,1,0,20,5,0,4,4,0,0,0,0,2,0,0,0,1,0,4,5,0,1,0,0,0,0,0,0,0,0,4,0,0,1,0,0,8,1
"Butyricimonas",5,2,0,110,2682,0,39,934,579,906,141,185,971,1254,1080,1,1306,256,812,581,3319,0,649,0,1564,55,131,287,1081,310,0,4,548,0,504,6389,1283,492,0,238,0,140,0,0,0,177,61,0,2,0,0,1747,0,94,88,58,152,0
"Candidatus_Soleaferrea",2,10,44,0,0,3,1,2,11,28,178,74,1,63,0,169,641,5,1,3,47,0,542,164,57,272,5,0,429,2,1,12,427,221,199,7,0,2,11,3,1,0,1,0,2,0,0,15,3977,0,1,48,0,61,128,61,0,79
"Christensenella",0,0,1,34,21,0,7,52,55,34,82,6,23,772,45,16,7,13,5,36,53,30,1666,32,8,10,25,21,65,43,0,0,126,53,44,95,127,5,31,6,0,48,0,0,0,627,0,0,1,31,0,2,0,43,169,6,0,59
"Clostridium",24,2884,250,127,7,234,8,598,2206,625,415,30,187,72,289,247,470,49,184,255,151,303,64,3184,106,268,3189,294,376,1096,173,5,477,625,679,689,55,325,186,434,1,10,11,115,16,15,16,90,53,56,10,10,76,148,866,8,261,209
"Collinsella",15,1,6,54,1,28,1,83,703,5,20,4,183,27,255,35,341,16,83,303,63,10,34,7,3,399,51,33,507,56,0,0,6,0,53,24,10,37,6,20,0,9,0,1648,0,113,218,674,69,0,0,1,0,4103,54,0,56,20
"Coprococcus",11,10,18,18,0,197,7,314,168,89,743,39,597,133,82,30,539,1199,289,24,24,91,29,264,398,965,74,574,143,136,50,80,624,370,649,35,73,1866,38,85,2,4,0,0,0,68,13,195,1609,962,9,1,44,180,35,3,76,48
"Dehalobacterium",0,0,0,0,0,0,0,0,0,48,15,3,18,0,0,93,4,0,8,0,22,0,5,52,2,6,33,0,86,0,0,0,0,0,6,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
"Dialister",1493,11,59,24902,54,21426,1535,13483,83,2007,3,603,1643,7117,44,54,2100,4,4726,30,1293,17610,42,10645,1693,0,15640,3,1248,4164,4745,24,4307,5283,5730,4015,8,68,14823,20490,1998,42010,747,56,540,37,148,733,35,16650,859,13,54,17350,6456,5,40,30330
"Dorea",50,788,156,53,19,209,4,28,33,28,65,20,556,39,41,58,596,104,23,90,17,28,68,81,61,258,36,51,168,26,35,171,72,832,3928,13,49,49,54,39,1,23,0,1200,0,41,27,2,10,51,0,0,0,60,17,6,176,22
"Eggerthella",2,4,0,0,0,4,0,0,0,0,0,0,0,2,0,3,7,0,4,0,1,3,5,0,3,2,0,0,1,1,4,0,3,60,0,2,10,4,2,0,1,1,0,65,0,0,0,0,0,10,11,2,12,3,1,0,9,0
"Erysipelatoclostridium",0,5873,749,4,0,0,0,2,0,6,1,5,0,5,1,0,1,9,7,16,6,0,1,17,7,0,0,2,6,4,3,52,0,9,0,0,0,41,0,1,0,0,0,17,4,2,0,4,1,3,18,0,1,0,1,0,303,0
"Eubacterium",271,7,56,194,31,337,23,74,305,464,2190,79,1339,1563,1439,355,3137,444,497,1717,284,632,1305,443,628,1572,366,1528,960,411,191,2,876,568,728,390,1276,845,665,258,0,32,2,289,94,414,223,185,180,421,4,13,772,570,281,469,1791,1015
"Faecalibacterium",313,5,19,841,562,69,63,245,34,98,1579,32,1811,50,3600,34,348,159,296,143,956,1002,36,583,75,284,3334,44,1274,606,162,2,3409,1944,216,213,9,79,736,528,1,73,0,14,63,421,10,22,808,8,3,3,6,440,123,34,288,10
"Fusicatenibacter",209,20,2,21,11,71,11,20,16,82,70,27,91,10,44,42,1093,24,100,160,132,27,290,10,0,314,32,132,86,33,18,0,30,1038,2379,7,44,55,100,0,0,3,1,207,9,4,0,1395,56,22,0,10,2,21,6,1,424,2
"Fusobacterium",19,15,9,19,0,2,0,3,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2,0,1,0,0,0,0,4,0,1,40,0,3,16,0,0,0,113,4,94,12,1965,0,0,9,0,43,0,0,0,0,0
"Gemella",6,12,0,4,1,0,0,3,0,5,0,4,0,19,9,1,5,0,0,0,4,0,1,5,0,1,0,1,7,1,1,12,0,0,0,2,2,13,6,0,0,0,2,13,1,0,15,15,0,0,0,0,14,3,0,0,5,0
"Gemmiger",254,2,6,507,11,38,8,131,367,1074,25,65,55,211,2,0,619,177,1551,625,83,1377,976,465,386,750,350,0,6178,10410,0,1,673,14900,1250,2258,1407,46,4825,6,0,32,0,0,0,26,3,2,468,0,13,1,0,10720,270,17,0,0
"Granulicatella",70,264,1,2,6,51,9,4,8,8,1,4,12,160,5,5,22,2,4,35,16,1,10,13,15,2,42,12,165,7,2,18,8,0,0,81,18,64,38,10,3,6,15,213,11,0,0,52,15,4,1,5,40,1,0,1,88,1
"Haemophilus",1189,1347,10,2456,244,8236,1,87,80,2,539,5,173,1,39,0,27,0,36,6,0,20,0,10,43,0,634,20,75,13,181,28,52,54,17,70,336,265,2,2414,0,3,0,397,22,1087,9,17,150,290,5,0,6913,4,17,0,1361,128
"Holdemania",56,0,0,1,0,0,0,2,0,0,0,0,4,0,0,1,0,0,0,7,8,0,0,6,7,7,1,11,4,3,2,78,0,2,0,0,8,2,1,0,0,2,0,0,0,0,0,0,0,5,0,3,0,2,0,1,0,0
"Intestinibacter",3,1508,26,133,43,414,19,1376,1322,878,50,55,1490,1068,2274,129,194,59,1332,3790,2056,694,24,1181,15,59,22,122,219,3135,70,4,2025,5376,1599,372,213,1271,0,64,3,116,238,0,12,2,3,16,1053,18,7,2,2204,0,1013,5,983,1609
"Intestinimonas",5,1,144,3,0,22,1,0,22,7,0,0,0,13,0,24,2,4,0,1,3,12,8,14,9,6,0,104,5,8,4,682,7,0,2,6,0,3,3,0,0,0,0,0,0,0,676,0,6,22,1,11,0,0,10,0,0,8
"Kluyvera",0,0,28,0,0,5,3,0,4,0,0,0,6,9,0,0,0,1782,2,3,1,0,0,20,1161,0,2,0,1,0,0,14,0,82,0,10,0,0,0,37,2,2,0,0,12,0,5,2317,1,7,1225,0,0,2,6,1,0,0
"Lachnoclostridium",117,392,80,44,14,258,8,10,63,57,50,24,293,55,237,9,295,100,74,142,63,59,22,226,182,366,187,119,61,463,91,18,100,1257,1031,30,40,98,123,33,0,13,68,78,13,22,1797,1965,134,12,0,24,81,366,24,4,235,59
"Lactobacillus",41,288,8,7,39,129,4,62,22,128,78,48,158,2479,58,14,402,94,433,315,359,35,78,924,86,51,115,103,189,84,78,16,65,176,14,31,221,5,126,29,17,12,17,1003,0,66,4,1791,5,25,107,14,0,35,13,1,788,12
"Lactococcus",0,80,21,1,0,58,0,1,2,14,4,4,0,120,2,12,14,3,14,15,33,5,26,92,3,3,28,0,29,19,27,0,0,16,26,0,3,89,1,12,0,0,9,0,1,8,7,0,0,5,0,0,0,0,15,0,0,0
"Massilia",62,26,3,0,2,15,0,0,44,15,13,7,15,55,102,4,2,16,42,70,48,1,8,155,13,3,27,28,39,42,8,26,2,4,2,40,16,10,5,22,5,25,19,1,0,9,7,0,11,6,6,1,6,3,18,4,21,19
"Megasphaera",91,1,30,4,0,10,0,6,4,0,0,1,0,2,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,9,0,0,0,4,1,0,178,0,0,0,86,1,36,26,4620,0,1,968,0,286,0,0,3,0,0
