logFC	AveExpr	t	P.Value	adj.P.Val	B	star
g__Oscillospira	0.0579249783431716	0.0460238759344313	6.07164375451982	4.37443796521333e-07	8.31143213390532e-05	0.052230018888654	 * * *
g__	0.211782351383593	0.178334365376118	5.71413249979429	1.36059244916373e-06	0.000129256282670555	-1.08240061613555	 * * *
g__Coprococcus	0.0114467030235023	0.00976364124811786	4.87118473415031	1.94310890660545e-05	0.00119813440328815	-3.7254796593515	 * *
g__Odoribacter	0.00409866994635228	0.00353635253302009	4.78751187448203	2.52238821744874e-05	0.00119813440328815	-3.98336515900191	 * *
g__Parabacteroides	0.00569889099320123	0.00480192750649882	4.25625970328536	0.000129244104913473	0.00476670134169461	-5.59039947171324	 * *
g__Lachnospira	0.00511436290571619	0.00460002381778795	4.20588156775842	0.000150527410790356	0.00476670134169461	-5.73953661759086	 * *
g__[Ruminococcus]	0.0117948116103426	0.0102727148208099	4.0816519937921	0.000218726171749883	0.00591463473080841	-6.10444011263322	 * *
g__Defluviitalea	0.000729381085662258	0.000380682298831955	4.01553033319612	0.000266488425521247	0.00591463473080841	-6.29690753050521	 * *
g__Butyricimonas	0.0148469957935956	0.0109531158599784	3.99871942020091	0.000280166908301451	0.00591463473080841	-6.3456374333759	 * *
no_match	0.144356654958477	0.164351421224469	3.93888739868013	0.000334617957551107	0.00623165160596556	-6.51838265196337	 * *
g__Clostridium	0.0162249800612253	0.0145641980469407	3.91343800466863	0.000360779829819059	0.00623165160596556	-6.59152545390236	 * *
g__Blautia	0.0133867404656747	0.0136277216068476	3.86065929118065	0.000421519234189488	0.00628581046866403	-6.7425600033243	 * *
g__Alistipes	0.0175478080630168	0.0150918004761376	3.84650458583549	0.000439427711925167	0.00628581046866403	-6.78291290712326	 * *
g__Bacteroides	0.152728955366432	0.149915850725648	3.82858135038095	0.00046316498190156	0.00628581046866403	-6.83391482931483	 * *
g__[Eubacterium]	0.00207024693934592	0.00168552283058372	3.7925734229769	0.000514666540053257	0.00651910950734126	-6.93605449959423	 * *
g__Faecalibacterium	0.0471898516741691	0.0486335418224621	3.68308591214076	0.00070762812019593	0.00840308392732667	-7.24388190970489	 * *
g__Oxalobacter	0.000950285147125222	0.000466535890829583	3.62207512834746	0.000843742724253861	0.0091377891339825	-7.41354956322561	 * *
g__Ruminococcus	0.0349983527588128	0.0347570728926351	3.61313932261712	0.000865685286377289	0.0091377891339825	-7.43828349644772	 * *
g__Turicibacter	0.00876051459654269	0.00581825756934788	3.55265853155471	0.00102931475129386	0.0102931475129386	-7.60489276641155	 *
g__Sutterella	0.00633508525381926	0.00650460239769901	3.52844287003621	0.00110284284384579	0.010477007016535	-7.67120357159166	 *
g__Paraprevotella	0.00408659597165017	0.00295198437675685	3.49692506433318	0.00120612803156367	0.0109125869522427	-7.757162594002	 *
g__Roseburia	0.0246833873783432	0.0252346883297236	3.4517914786735	0.00137033014002637	0.0118346693911368	-7.87955894902129	 *
g__Aggregatibacter	0.00141346900985912	0.000821024489362517	3.26596736694815	0.00230074841583818	0.0186617388021877	-8.37442502406974	 *
g__Haemophilus	0.00307012607255336	0.00295215449200203	3.25715418269862	0.00235727226975003	0.0186617388021877	-8.39751766417326	 *
g__Dehalobacterium	0.00163174145835376	0.000899093113877976	3.21390458752267	0.0026543307642953	0.0201729138086443	-8.51032594006307	 *
g__Sphingomonas	0.00413312656499472	0.00498630142279191	3.08960253356669	0.00371852380602996	0.0271738278132959	-8.82963100487484	 *
g__Dorea	0.00507158227665475	0.00538433486230752	3.05864686233213	0.00404037011228239	0.0284322341234687	-8.90797887751104	 *
g__Sediminibacterium	0.000214754045445165	8.81042237723753e-05	2.96625163274598	0.00516424712255014	0.0350431054744474	-9.13894274178644	 *
g__cc_115	0.000447667734934428	0.000252211446305978	2.924331714011	0.00576567510637806	0.0369440471623355	-9.24226941058748	 *
g__Dialister	0.0178940971189253	0.0202422142004484	2.9198795553739	0.00583327060457929	0.0369440471623355	-9.25318860901062	 *
g__Barnesiella	0.000332966336164656	0.000136601573811141	2.89617686796914	0.00620580760215104	0.0380355949809257	-9.31114213678378	 *
g__Lachnobacterium	0.00199289536644894	0.0018084101414779	2.87009994796741	0.00664131531953482	0.0394286811995323	-9.37455012068792	 *
g__Butyricicoccus	0.00277859106485309	0.00301836023344834	2.85404705868199	0.0069234418850529	0.0394286811995323	-9.4133994998099	 *
g__Pseudomonas	0.00126849908176556	0.00113693228054078	2.84673310284902	0.00705565874096894	0.0394286811995323	-9.43105296459058	 *
g__Lactococcus	0.0010749604234944	0.000912547404940269	2.77233864778768	0.00854094586063416	0.046365134672014	-9.60892327974757	 *
g__SMB53	0.0103326623346393	0.0103734667659327	2.72945926211632	0.00952412688018149	0.0501320799769601	-9.71001818550746	
g__Christensenella	0.00115466890091931	0.000856630438249584	2.71732340214469	0.00982086526115312	0.0501320799769601	-9.73843762844537	
g__Anaerostipes	0.00237188332797053	0.00252331191927353	2.70911439749073	0.010026415995392	0.0501320799769601	-9.75761262242112	
g__Tepidimonas	0.00021985388881123	9.01964672046074e-05	2.61398427173002	0.0127166372156803	0.0619528479738273	-9.97691354284271	
g__Mucispirillum	0.000452033669027003	0.000199332337823334	2.58913199237067	0.0135214754317747	0.0642270083009297	-10.0333072184813	
g__Allobaculum	0.000447591026638552	0.000183627087851714	2.57556025808764	0.0139804894855544	0.0647876342013498	-10.0639438079493	
g__Adlercreutzia	0.0004114857620229	0.000206655623806467	2.56554166021243	0.0143284546123626	0.0648191994368783	-10.0864867360165	
g__Slackia	0.000673609707426113	0.000594012084448473	2.49629120086738	0.0169589516748764	0.0749349027494538	-10.2405946180138	
g__Prevotella	0.0573058037383411	0.0622434387987783	2.47961370989539	0.0176550377242319	0.0760715211965797	-10.2772554438977	
g__Granulicatella	0.00181021907434276	0.00216336593530702	2.47117825630476	0.0180169392307689	0.0760715211965797	-10.295730711072	
