"OTU","Pvalues","FDR"
"Prevotella",1.3856e-06,0.00050575
"Paraprevotella_clara",6.3353e-06,0.0011562
"Streptococcus_1",2.4898e-05,0.0025918
"OTU516|NN=Prevotella_copri_AB064923|D=96_6_1",2.8403e-05,0.0025918
"Alistipes_indistinctus",0.00017398,0.012701
"OTU516|NN=Prevotella_copri_AB064923|D=96_6",0.00034135,0.020766
"Pasteurellaceae",0.00040667,0.021205
"OTU392|NN=Aggregatibacter_aphrophilus_EF605278|D=95_1",0.00053583,0.024447
"Christensenella_minuta",0.0011929,0.041874
"OTU790|NN=Barnesiella_intestinihominis_AB370251|D=84_6",0.0012137,0.041874
"OTU1322|NN=Catabacter_hongkongensis_AB671763|D=85_4",0.0014106,0.041874
"Parabacteroides_goldsteinii",0.0014342,0.041874
"Clostridiales_66",0.0014914,0.041874
"Bacteroides_plebeius",0.0016434,0.042846
"OTU810|NN=Soleaferrea_massiliensis_JX101688|D=87_6",0.0020115,0.047708
"Bacteroides_1",0.0020913,0.047708
