Treatment	AIH	AIH	AIH	AIH	AIH	AIH	AIH	AIH	AIH	AIH	AIH	AIH	AIH	AIH	AIH	AIH	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl
Bacteria|Actinobacteria|Actinobacteria|Coriobacteriales|Coriobacteriaceae	0	0	0	0	0	0	0	0	11	3	0	0	6	0	0	37	45	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
Bacteria|Actinobacteria|Actinobacteria|Coriobacteriales|Coriobacteriaceae|Adlercreutzia	0	0	0	0	0	1	0	0	0	0	0	0	20	0	6	1	12	2	0	2	2	0	1	5	3	3	0	2	1	0	1	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Bacteria|Actinobacteria|Actinobacteria|Coriobacteriales|Coriobacteriaceae|Atopobium	7	12	2	6	5	14	1	0	8	0	0	0	0	6	0	2	0	0	2	3	5	5	0	0	0	0	0	0	11	0	0	4	6	0	1	56	9	3	2	10	0	0	0	6	1	0	1	16	0	0	0	0	3	1	0	1	6	0
Bacteria|Actinobacteria|Actinobacteria|Coriobacteriales|Coriobacteriaceae|Collinsella	15	1	6	54	1	28	1	83	703	5	20	4	183	27	255	35	341	16	83	303	63	10	34	7	3	399	51	33	507	56	0	0	6	0	53	24	10	37	6	20	0	9	0	1648	0	113	218	674	69	0	0	1	0	4103	54	0	56	20
Bacteria|Actinobacteria|Actinobacteria|Coriobacteriales|Coriobacteriaceae|Cryptobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	20	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Bacteria|Actinobacteria|Actinobacteria|Coriobacteriales|Coriobacteriaceae|Eggerthella	2	4	0	0	0	4	0	0	0	5	0	0	0	2	0	3	7	0	4	1	1	3	5	0	3	2	0	4	1	2	4	2	24	73	0	2	10	4	2	0	1	1	0	65	0	0	0	0	0	10	11	3	12	3	4	0	11	0
Bacteria|Actinobacteria|Actinobacteria|Coriobacteriales|Coriobacteriaceae|Gordonibacter	0	0	12	0	0	0	0	0	0	0	0	0	0	0	2	2	1	0	0	2	4	0	0	1	2	7	0	1	1	2	1	0	0	1	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0
Bacteria|Actinobacteria|Actinobacteria|Coriobacteriales|Coriobacteriaceae|Olsenella	0	0	7	1	0	0	0	1	3	0	0	0	0	1	0	0	0	0	0	0	12	0	0	0	0	0	0	0	1	0	0	0	36	0	86	0	0	0	3	3	0	12	0	0	0	0	1	0	210	0	0	0	0	0	3	0	0	5
Bacteria|Actinobacteria|Actinobacteria|Coriobacteriales|Coriobacteriaceae|Paraeggerthella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Actinobacteria|Actinobacteria|Coriobacteriales|Coriobacteriaceae|Slackia	52	0	0	4	0	0	0	0	1	0	2	4	28	5	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	88	0	0	13	0	0	0	0	0	15	16	1	6	0	0	0	14	1	8	2	0	1	0	1	2	0	0	0	0
Bacteria|Actinobacteria|Actinobacteria|Coriobacteriales|Coriobacteriaceae|unclassified-Coriobacteriaceae	0	1	0	6	4	1	0	0	53	2	42	1	40	4	6	40	135	23	2	4	48	2	21	0	1	58	6	18	30	34	20	0	58	0	58	3	52	2	15	5	0	6	0	0	0	8	28	1	51	0	0	0	0	101	8	2	2	80
Bacteria|Actinobacteria|Coriobacteriia|Coriobacteriales|Coriobacteriaceae|Senegalemassilia	0	0	0	4	0	0	0	2	0	0	8	0	1	5	0	3	0	0	0	0	0	0	0	3	0	120	0	0	0	6	0	0	0	0	0	0	0	0	0	6	0	10	0	0	0	4	29	0	0	0	0	0	0	20	0	0	0	0
Bacteria|Actinobacteria|Coriobacteriia|Coriobacteriales|Coriobacteriaceae|unclassified-Coriobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Bacteroidetes	0	0	0	0	0	0	2	0	720	0	0	0	0	0	0	0	235	0	0	0	0	0	4	0	0	0	0	0	0	354	0	0	0	0	0	154	4	0	312	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	3	0	0	0
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales	2	4	12	0	0	0	0	0	3	21	6	38	4	0	0	4	64	23	35	48	110	0	19	360	21	0	34	0	77	21	21	0	0	0	0	0	0	0	4	1620	0	0	0	7	1	2	0	0	474	0	0	0	0	0	1	109	4	1
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides	29037	48966	81650	3018	4883	23416	227	3338	14481	5418	7484	11529	8346	14390	14566	20709	9936	30904	13281	9507	23689	24046	15017	4431	14671	12427	1503	27863	13566	9397	28155	90390	18453	8121	13133	14022	13484	14627	9320	135	30	441	997	2124	25468	32913	5117	25371	3064	7748	26430	18663	8612	29146	2278	312	52355	6446
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae	1	0	0	0	0	0	0	0	102	4	8	19	7	0	4	0	5	10	16	20	64	0	4	1591	10	0	15	0	37	17	3	0	0	0	0	2	0	0	2	2	0	1	6	0	0	0	0	0	0	0	1	0	0	0	1	0	2	0
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Barnesiella	27	287	7	3307	6937	402	299	4700	5164	6418	10831	5149	1263	252	2314	3	1457	10543	1217	5683	2387	699	11253	8785	19026	1909	1994	1218	26583	9351	15856	168	4349	1255	503	8033	817	2973	11516	613	8	49	11	0	0	707	80	7	512	0	16	110	4	4038	47	72	621	38
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Butyricimonas	5	2	0	111	2731	0	39	934	1027	906	189	185	972	1402	1106	1	1655	256	815	581	3319	0	651	0	1564	55	131	287	1081	310	392	4	548	0	504	6392	1283	493	0	239	0	147	0	0	0	177	96	0	2	0	1	1747	0	104	88	58	152	0
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Odoribacter	445	598	34	146	395	669	10	795	358	359	590	74	479	465	48	642	557	163	12272	921	402	6727	778	266	1902	248	83	87	753	1073	280	1	58	1	1966	717	714	456	567	19	0	455	1	0	0	304	63	0	79	1012	1	362	0	460	36	50	208	309
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Parabacteroides	4	511	1	24	40	249	6	5	605	24	532	691	806	248	584	1320	370	329	222	244	713	0	263	350	85	837	54	369	104	725	562	13	648	1	599	442	23	85	84	0	0	5	0	0	53	407	301	0	5	0	386	8	68	934	13	44	679	1974
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Porphyromonas	0	0	0	0	1	0	0	4	16	2	0	1	0	0	0	0	0	0	2	10	0	0	0	0	0	3	2	4	1	1	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	24
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|unclassified-Porphyromonadaceae	1	22	109	5	0	0	0	1	2	5870	2	1363	13	1580	6	0	4	16	13	37	24	0	4	645	33	0	7	0	29	14	7	1	0	1	0	7	0	1	3	2007	4	1613	0	0	0	241	2346	18	6002	0	0	0	1	1	2	4474	1	4707
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Alloprevotella	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Paraprevotella	0	4	0	255	187	2	21	0	3	772	1512	257	0	360	0	427	0	0	3	2835	6	0	8	1	4	0	0	0	5	1	0	0	0	0	0	264	5	0	0	57	2	0	0	0	0	0	15	3	4	0	0	0	0	488	2	194	0	674
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella	86	246	761	18387	62839	157	13210	24978	8819	81	1597	4193	16791	7819	202	68	842	76	119	1477	407	1	78	714	102	11	13256	56	189	130	80	85	7	17	185	14361	6578	39	3985	22806	30122	38108	27	29	3	10	53673	1210	37925	30	523	3	28	8	73385	7370	86	3177
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|unclassified-Prevotellaceae	0	2	11	0	0	0	0	0	0	0	0	0	0	517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	926	0	0	0	0	0	0	0	0	0
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Rikenellaceae|Alistipes	4016	78	3336	15084	20207	10252	290	9045	16871	34157	15588	9535	6544	21978	10951	41710	5942	15205	39428	14337	22934	27029	34413	15594	24169	1316	5546	15828	35487	17400	27587	2479	13149	301	2155	32152	11676	26285	15961	193	11	1232	5	2	7	5181	376	30	7453	39334	63	12420	3492	15759	4203	3434	626	12286
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|[Paraprevotellaceae]|[Prevotella]	3	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	2543	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|unclassified|unclassified-Bacteroidales	0	20	44	0	0	0	0	0	1	0	1	1	0	455	1	1	9	2	1	2	7	1	6	69	3	1	1	0	24	36	0	1	0	1	0	0	0	0	5	5520	0	0	0	0	0	0	196	5	2536	1	0	0	0	0	3	22527	0	0
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	4	0	0	0	2	0
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Chryseobacterium	0	0	0	0	0	0	0	0	0	0	0	0	2	1	6	0	0	0	1	7	0	2	0	2	0	0	1	0	0	4	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	2	0
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Flavobacterium	0	1	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|[Weeksellaceae]|Cloacibacterium	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Bacteroidetes|[Saprospirae]|[Saprospirales]|Chitinophagaceae|Bifissio	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Cyanobacteria[Melainabacteria]|[Melainabacteria]|[Melainabacteriales]|[Melainabacteriaceae]|[Melainabacter]	0	0	0	0	0	4	1	0	475	0	177	0	0	0	0	21	185	19	116	4	13	74	397	69	138	0	70	8	12	2	691	0	0	0	19	0	2006	0	25	68	0	5	0	0	0	0	0	0	0	1229	4	0	0	0	4	1	0	1
Bacteria|Deinococcus-Thermus|Deinococci|Deinococcales|Deinococcaceae|Deinococcus	0	0	8	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	12	2	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
Bacteria|Euryarchaeota|Methanobacteria|Methanobacteriales|Methanobacteriaceae|Methanobrevibacter	0	0	0	0	0	0	0	0	0	64	187	0	2	0	0	0	1	157	2	2	0	0	246	175	89	1227	0	0	3	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	698	0	0	0	0	0	1	48	0	0	0	0
Bacteria|Euryarchaeota|Thermoplasmata|E2|[Methanomassiliicoccaceae]|Methanomassiliicoccus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Euryarchaeota|Thermoplasmata|E2|[Methanomassiliicoccaceae]|vadinCA11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes	12	13	2	6	0	15	0	159	1	67	99	41	19	0	4	12	9	91	364	60	82	0	25	265	56	96	11	0	60	42	19	0	0	6	70	8	35	260	7	62	0	0	0	1	20	13	6	431	0	0	8	0	26	0	10	7	0	0
Bacteria|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Bacteria|Firmicutes|Bacilli|Bacillales|Staphylococcaceae|Staphylococcus	1	6	6	0	0	13	0	0	7	7	0	1	0	6	0	0	2	5	1	21	2	0	3	23	2	0	9	6	1	1	3	3	4	2	2	28	0	0	0	0	2	0	0	12	2	2	5	1	0	1	2	0	0	0	0	2	2	0
Bacteria|Firmicutes|Bacilli|Gemellales|Gemellaceae|Gemella	6	12	0	4	1	0	0	3	0	5	0	4	0	19	9	1	5	0	0	0	4	0	1	5	0	1	0	1	7	1	1	12	0	0	0	2	2	13	6	0	0	0	2	13	1	0	15	15	0	0	0	0	14	3	0	0	5	0
Bacteria|Firmicutes|Bacilli|Lactobacillales|Aerococcaceae|Abiotrophia	0	17	0	0	0	3	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	10	0	0	0	0	0
Bacteria|Firmicutes|Bacilli|Lactobacillales|Carnobacteriaceae|Granulicatella	70	264	1	2	6	51	9	4	8	8	1	4	12	160	5	5	22	2	4	35	16	1	10	13	15	2	42	12	165	7	2	18	8	0	0	81	18	64	38	10	3	6	15	213	11	0	0	52	15	4	1	5	40	1	0	1	88	1
Bacteria|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae|Lactobacillus	43	296	24	7	39	132	4	62	22	213	78	48	176	2536	66	15	423	96	443	318	361	35	78	925	88	61	115	105	191	88	81	16	65	176	22	32	228	5	126	29	18	12	18	1074	0	126	4	2140	5	25	127	24	4	51	13	1	1122	12
Bacteria|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae|Pediococcus	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Bacilli|Lactobacillales|Leuconostocaceae|Leuconostoc	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Bacilli|Lactobacillales|Leuconostocaceae|Weissella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Lactococcus	0	80	24	1	0	58	0	1	2	14	4	4	0	124	2	12	14	3	14	15	33	5	26	92	3	3	28	0	33	19	27	0	0	16	26	0	3	89	1	12	0	0	9	0	1	8	7	3	0	5	0	0	0	0	15	0	0	0
Bacteria|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus	551	225	245	87	372	83	61	24	48	11	43	177	76	1696	82	38	393	12	31	57	53	35	58	93	69	17	34	957	59	16	10	11	85	50	58	566	595	69	94	180	112	11	27	8788	11	347	927	18521	19	34	927	4	583	3	11	7	779	6
Bacteria|Firmicutes|Bacilli|Lactobacillales|unclassified|unclassified-Lactobacillales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales	50	1207	18	713	71	653	30	114	541	602	1208	100	1232	445	2042	7847	2727	1617	254	877	261	2227	1656	1135	974	456	374	523	393	301	349	25	329	74	421	6760	338	62	249	1399	1	30	0	4	9	59	46	76	230	234	2	20	13	84	1660	890	307	119
Bacteria|Firmicutes|Clostridia|Clostridiales|Catabacteriaceae|Catabacter	4	0	0	1	0	0	1	0	40	21	18	0	11	0	0	54	61	195	21	0	0	0	0	9	30	245	1	0	0	16	0	1	0	0	29	8	11	2	17	31	0	0	0	0	0	0	0	0	0	0	0	0	0	5	39	13	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Christensenellaceae	0	0	5	6	0	0	0	17	38	14	8	0	8	49	26	21	4	2	43	136	17	0	29	5	13	2	6	32	9	22	8	0	12	10	10	12	19	0	16	1	0	0	0	0	0	11	0	1	65	25	0	0	0	13	10	15	0	3
Bacteria|Firmicutes|Clostridia|Clostridiales|Christensenellaceae|Christensenella	0	0	1	34	21	0	7	122	63	120	250	7	45	791	45	16	258	108	24	37	129	37	1668	1348	12	12	137	43	403	71	0	0	126	53	51	95	153	5	34	9	1	48	0	0	0	628	0	0	1	35	1	2	0	43	173	10	0	59
Bacteria|Firmicutes|Clostridia|Clostridiales|Christensenellaceae|unclassified-Christensenellaceae	1	0	1	188	0	0	1	71	170	130	145	16	300	110	72	214	250	60	737	189	141	8	182	236	85	220	595	65	217	160	0	0	31	5	193	55	50	0	419	8	0	0	0	0	1	0	0	0	0	46	2	5	0	8	52	66	0	19
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiaceae	0	0	0	0	0	0	0	0	3	254	8	0	4	0	1333	0	112	0	58	1	1	0	1176	1	0	0	51	0	288	3	0	0	0	0	0	0	0	0	501	97	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiaceae|Butyricicoccus	0	0	0	14	0	0	0	0	0	0	0	0	24	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiaceae|Clostridium	24	2995	255	129	8	268	9	848	2247	1290	1265	31	394	89	312	247	852	282	270	277	161	365	778	3535	118	515	3521	422	672	1788	175	7	971	635	787	711	67	334	586	738	14	12	11	119	54	15	23	149	577	73	26	10	83	178	1003	113	269	306
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiaceae|Sarcina	0	1	0	0	0	0	0	0	0	0	0	0	8802	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiaceae|unclassified-Clostridiaceae	0	1	0	0	1	0	2	0	48	107	201	3	14	0	2	0	73	7	6	1	0	0	1067	89	0	0	126	0	9	5806	0	0	0	0	0	0	0	0	63	27	1	0	0	0	0	0	0	0	3	642	0	0	0	0	200	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiales Family XI. Incertae Sedis|Anaerococcus	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	2	1	3	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiales Family XI. Incertae Sedis|Parvimonas	0	0	0	0	0	0	0	1	4	3	0	0	0	0	0	0	0	1	3	2	0	0	4	3	0	0	0	0	44	0	1	0	0	0	0	0	0	17	0	0	0	0	0	1	0	7	0	0	0	1	0	0	6	0	2	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiales Family XIII. Incertae Sedis|Mogibacterium	7	0	0	0	0	0	0	0	1	1	2	0	2	8	0	4	2	0	0	1	0	0	0	0	0	0	1	0	5	0	0	0	0	2	0	13	6	0	0	1	0	2	0	11	1	0	28	20	3	0	0	0	18	0	0	2	1	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Dehalobacteriaceae|Dehalobacterium	1	0	0	0	0	0	0	0	10	50	75	5	34	0	0	100	6	9	8	6	56	1	8	165	9	10	38	0	109	9	0	0	0	0	14	0	0	0	32	16	0	4	0	0	0	0	15	0	1	6	0	0	0	0	15	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Eubacteriaceae|Anaerofustis	0	0	0	1	0	0	0	1	3	0	0	0	4	0	0	16	0	2	4	2	2	0	1	6	0	0	0	0	7	7	1	0	2	5	2	0	12	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	7	0
