Leberstatus	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	healthy	hepatopathy	hepatopathy	hepatopathy	hepatopathy	hepatopathy	hepatopathy	hepatopathy	hepatopathy	hepatopathy	hepatopathy	hepatopathy	hepatopathy	hepatopathy	hepatopathy	hepatopathy	hepatopathy	hepatopathy	hepatopathy	hepatopathy	hepatopathy	hepatopathy	hepatopathy	hepatopathy	hepatopathy	hepatopathy	hepatopathy	hepatopathy	hepatopathy	hepatopathy	hepatopathy	hepatopathy	hepatopathy	hepatopathy	hepatopathy	hepatopathy	hepatopathy	hepatopathy	hepatopathy
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Streptomycetaceae|Streptomyces	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	3	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
Bacteria|Actinobacteria|Actinobacteria|Bifidobacteriales|Bifidobacteriaceae|Bifidobacterium	1756	7	121	327	428	2	28	407	161	291	111	32	187	366	343	2	114	12774	8666	47	0	7	57	191	231	15	6	28	9	443	145	373	26	207	268	6	105	4	26	90	70	15	156	32635	24	7711	4065	2915	1192	19	94	513	51	1838	918	53	274
Bacteria|Actinobacteria|Actinobacteria|Bifidobacteriales|Bifidobacteriaceae|Scardovia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	8	1	0	0	0	0	0	0	2	0	0	0	0	0	20	0	5	0	0	2	0	0	0	0
Bacteria|Actinobacteria|Actinobacteria|Coriobacteriales|Coriobacteriaceae	45	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	6	0	0	0	0	0	11	3	0	0	37	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
Bacteria|Actinobacteria|Actinobacteria|Coriobacteriales|Coriobacteriaceae|Adlercreutzia	12	2	0	2	2	0	1	5	3	3	0	2	1	0	1	0	0	0	1	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	1	0	6	0	0
Bacteria|Actinobacteria|Actinobacteria|Coriobacteriales|Coriobacteriaceae|Atopobium	0	0	2	3	5	5	0	0	0	0	0	0	11	0	0	4	6	0	1	1	0	1	0	0	0	7	1	0	6	0	8	0	0	6	2	1	56	9	3	2	10	0	0	6	12	2	0	16	0	0	5	3	14	1	0	6	0
Bacteria|Actinobacteria|Actinobacteria|Coriobacteriales|Coriobacteriaceae|Collinsella	341	16	83	303	63	10	34	7	3	399	51	33	507	56	0	0	6	0	53	218	0	1	54	20	183	15	0	1	54	83	703	5	4	27	35	0	24	10	37	6	20	0	9	1648	1	6	113	674	69	0	1	0	28	4103	255	56	20
Bacteria|Actinobacteria|Actinobacteria|Coriobacteriales|Coriobacteriaceae|Cryptobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	2	0	0	0	0	20	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Bacteria|Actinobacteria|Actinobacteria|Coriobacteriales|Coriobacteriaceae|Eggerthella	7	0	4	1	1	3	5	0	3	2	0	4	1	2	4	2	24	73	0	0	10	0	4	0	0	2	0	3	0	0	0	5	0	2	3	0	2	10	4	2	0	1	1	65	4	0	0	0	0	11	0	12	4	3	0	11	0
Bacteria|Actinobacteria|Actinobacteria|Coriobacteriales|Coriobacteriaceae|Gordonibacter	1	0	0	2	4	0	0	1	2	7	0	1	1	2	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	15	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	2	2	0
Bacteria|Actinobacteria|Actinobacteria|Coriobacteriales|Coriobacteriaceae|Olsenella	0	0	0	0	12	0	0	0	0	0	0	0	1	0	0	0	36	0	86	1	0	0	3	0	0	0	0	0	1	1	3	0	0	1	0	0	0	0	0	3	3	0	12	0	0	7	0	0	210	0	0	0	0	0	0	0	5
Bacteria|Actinobacteria|Actinobacteria|Coriobacteriales|Coriobacteriaceae|Paraeggerthella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Actinobacteria|Actinobacteria|Coriobacteriales|Coriobacteriaceae|Slackia	0	0	4	0	0	0	0	0	0	0	1	0	0	88	0	0	13	0	0	1	0	0	0	2	28	52	0	0	4	0	1	0	4	5	0	0	0	0	0	15	16	1	6	0	0	0	14	8	2	1	0	1	0	2	0	0	0
Bacteria|Actinobacteria|Actinobacteria|Coriobacteriales|Coriobacteriaceae|unclassified-Coriobacteriaceae	135	23	2	4	48	2	21	0	1	58	6	18	30	34	20	0	58	0	58	28	0	0	8	42	40	0	0	0	6	0	53	2	1	4	40	2	3	52	2	15	5	0	6	0	1	0	8	1	51	0	4	0	1	101	6	2	80
Bacteria|Actinobacteria|Coriobacteriia|Coriobacteriales|Coriobacteriaceae|Senegalemassilia	0	0	0	0	0	0	0	3	0	120	0	0	0	6	0	0	0	0	0	29	0	0	0	8	1	0	0	0	4	2	0	0	0	5	3	0	0	0	0	0	6	0	10	0	0	0	4	0	0	0	0	0	0	20	0	0	0
Bacteria|Actinobacteria|Coriobacteriia|Coriobacteriales|Coriobacteriaceae|unclassified-Coriobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Bacteroidetes	235	0	0	0	0	0	4	0	0	0	0	0	0	354	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	720	0	0	0	0	0	154	4	0	312	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales	64	23	35	48	110	0	19	360	21	0	34	0	77	21	21	0	0	0	0	0	0	0	1	6	4	2	1	0	0	0	3	21	38	0	4	109	0	0	0	4	1620	0	0	7	4	12	2	0	474	0	0	0	0	0	0	4	1
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides	9936	30904	13281	9507	23689	24046	15017	4431	14671	12427	1503	27863	13566	9397	28155	90390	18453	8121	13133	5117	7748	227	2278	7484	8346	29037	25468	18663	3018	3338	14481	5418	11529	14390	20709	312	14022	13484	14627	9320	135	30	441	2124	48966	81650	32913	25371	3064	26430	4883	8612	23416	29146	14566	52355	6446
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae	5	10	16	20	64	0	4	1591	10	0	15	0	37	17	3	0	0	0	0	0	0	0	1	8	7	1	0	0	0	0	102	4	19	0	0	0	2	0	0	2	2	0	1	0	0	0	0	0	0	1	0	0	0	0	4	2	0
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Barnesiella	1457	10543	1217	5683	2387	699	11253	8785	19026	1909	1994	1218	26583	9351	15856	168	4349	1255	503	80	0	299	47	10831	1263	27	0	110	3307	4700	5164	6418	5149	252	3	72	8033	817	2973	11516	613	8	49	0	287	7	707	7	512	16	6937	4	402	4038	2314	621	38
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Butyricimonas	1655	256	815	581	3319	0	651	0	1564	55	131	287	1081	310	392	4	548	0	504	96	0	39	88	189	972	5	0	1747	111	934	1027	906	185	1402	1	58	6392	1283	493	0	239	0	147	0	2	0	177	0	2	1	2731	0	0	104	1106	152	0
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Odoribacter	557	163	12272	921	402	6727	778	266	1902	248	83	87	753	1073	280	1	58	1	1966	63	1012	10	36	590	479	445	0	362	146	795	358	359	74	465	642	50	717	714	456	567	19	0	455	0	598	34	304	0	79	1	395	0	669	460	48	208	309
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Parabacteroides	370	329	222	244	713	0	263	350	85	837	54	369	104	725	562	13	648	1	599	301	0	6	13	532	806	4	53	8	24	5	605	24	691	248	1320	44	442	23	85	84	0	0	5	0	511	1	407	0	5	386	40	68	249	934	584	679	1974
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Porphyromonas	0	0	2	10	0	0	0	0	0	3	2	4	1	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	4	16	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	24
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|unclassified-Porphyromonadaceae	4	16	13	37	24	0	4	645	33	0	7	0	29	14	7	1	0	1	0	2346	0	0	2	2	13	1	0	0	5	1	2	5870	1363	1580	0	4474	7	0	1	3	2007	4	1613	0	22	109	241	18	6002	0	0	1	0	1	6	1	4707
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Alloprevotella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Paraprevotella	0	0	3	2835	6	0	8	1	4	0	0	0	5	1	0	0	0	0	0	15	0	21	2	1512	0	0	0	0	255	0	3	772	257	360	427	194	264	5	0	0	57	2	0	0	4	0	0	3	4	0	187	0	2	488	0	0	674
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella	842	76	119	1477	407	1	78	714	102	11	13256	56	189	130	80	85	7	17	185	53673	30	13210	73385	1597	16791	86	3	3	18387	24978	8819	81	4193	7819	68	7370	14361	6578	39	3985	22806	30122	38108	29	246	761	10	1210	37925	523	62839	28	157	8	202	86	3177
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|unclassified-Prevotellaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	517	0	0	0	0	0	0	2	0	0	0	2	11	0	2	926	0	0	0	0	0	0	0	0
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Rikenellaceae|Alistipes	5942	15205	39428	14337	22934	27029	34413	15594	24169	1316	5546	15828	35487	17400	27587	2479	13149	301	2155	376	39334	290	4203	15588	6544	4016	7	12420	15084	9045	16871	34157	9535	21978	41710	3434	32152	11676	26285	15961	193	11	1232	2	78	3336	5181	30	7453	63	20207	3492	10252	15759	10951	626	12286
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|[Paraprevotellaceae]|[Prevotella]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2543	0	0	0	0	0	3	0	0	4	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|unclassified|unclassified-Bacteroidales	9	2	1	2	7	1	6	69	3	1	1	0	24	36	0	1	0	1	0	196	1	0	3	1	0	0	0	0	0	0	1	0	1	455	1	22527	0	0	0	5	5520	0	0	0	20	44	0	5	2536	0	0	0	0	0	1	0	0
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales	0	0	0	0	0	0	0	7	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	4	0	0	0	2	0
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Chryseobacterium	0	0	1	7	0	2	0	2	0	0	1	0	0	4	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	6	2	0
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Flavobacterium	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|[Weeksellaceae]|Cloacibacterium	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Bacteroidetes|[Saprospirae]|[Saprospirales]|Chitinophagaceae|Bifissio	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Cyanobacteria[Melainabacteria]|[Melainabacteria]|[Melainabacteriales]|[Melainabacteriaceae]|[Melainabacter]	185	19	116	4	13	74	397	69	138	0	70	8	12	2	691	0	0	0	19	0	1229	1	4	177	0	0	0	0	0	0	475	0	0	0	21	1	0	2006	0	25	68	0	5	0	0	0	0	0	0	4	0	0	4	0	0	0	1
Bacteria|Deinococcus-Thermus|Deinococci|Deinococcales|Deinococcaceae|Deinococcus	0	0	0	0	0	0	0	12	2	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	1	2	0
Bacteria|Euryarchaeota|Methanobacteria|Methanobacteriales|Methanobacteriaceae|Methanobrevibacter	1	157	2	2	0	0	246	175	89	1227	0	0	3	0	0	0	0	0	12	698	0	0	0	187	2	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	48	0	0	0
Bacteria|Euryarchaeota|Thermoplasmata|E2|[Methanomassiliicoccaceae]|Methanomassiliicoccus	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Euryarchaeota|Thermoplasmata|E2|[Methanomassiliicoccaceae]|vadinCA11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes	9	91	364	60	82	0	25	265	56	96	11	0	60	42	19	0	0	6	70	6	0	0	10	99	19	12	20	0	6	159	1	67	41	0	12	7	8	35	260	7	62	0	0	1	13	2	13	431	0	8	0	26	15	0	4	0	0
Bacteria|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0
Bacteria|Firmicutes|Bacilli|Bacillales|Staphylococcaceae|Staphylococcus	2	5	1	21	2	0	3	23	2	0	9	6	1	1	3	3	4	2	2	5	1	0	0	0	0	1	2	0	0	0	7	7	1	6	0	2	28	0	0	0	0	2	0	12	6	6	2	1	0	2	0	0	13	0	0	2	0
Bacteria|Firmicutes|Bacilli|Gemellales|Gemellaceae|Gemella	5	0	0	0	4	0	1	5	0	1	0	1	7	1	1	12	0	0	0	15	0	0	0	0	0	6	1	0	4	3	0	5	4	19	1	0	2	2	13	6	0	0	0	13	12	0	0	15	0	0	1	14	0	3	9	5	0
Bacteria|Firmicutes|Bacilli|Lactobacillales|Aerococcaceae|Abiotrophia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	14	0	1	0	0	0	3	17	0	0	0	0	0	0	10	3	0	1	0	0
Bacteria|Firmicutes|Bacilli|Lactobacillales|Carnobacteriaceae|Granulicatella	22	2	4	35	16	1	10	13	15	2	42	12	165	7	2	18	8	0	0	0	4	9	0	1	12	70	11	5	2	4	8	8	4	160	5	1	81	18	64	38	10	3	6	213	264	1	0	52	15	1	6	40	51	1	5	88	1
Bacteria|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae|Lactobacillus	423	96	443	318	361	35	78	925	88	61	115	105	191	88	81	16	65	176	22	4	25	4	13	78	176	43	0	24	7	62	22	213	48	2536	15	1	32	228	5	126	29	18	12	1074	296	24	126	2140	5	127	39	4	132	51	66	1122	12
Bacteria|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae|Pediococcus	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Bacilli|Lactobacillales|Leuconostocaceae|Leuconostoc	0	0	0	0	0	0	0	0	0	0	0	0	5	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Bacilli|Lactobacillales|Leuconostocaceae|Weissella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Lactococcus	14	3	14	15	33	5	26	92	3	3	28	0	33	19	27	0	0	16	26	7	5	0	15	4	0	0	1	0	1	1	2	14	4	124	12	0	0	3	89	1	12	0	0	0	80	24	8	3	0	0	0	0	58	0	2	0	0
Bacteria|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus	393	12	31	57	53	35	58	93	69	17	34	957	59	16	10	11	85	50	58	927	34	61	11	43	76	551	11	4	87	24	48	11	177	1696	38	7	566	595	69	94	180	112	11	8788	225	245	347	18521	19	927	372	583	83	3	82	779	6
Bacteria|Firmicutes|Bacilli|Lactobacillales|unclassified|unclassified-Lactobacillales	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales	2727	1617	254	877	261	2227	1656	1135	974	456	374	523	393	301	349	25	329	74	421	46	234	30	1660	1208	1232	50	9	20	713	114	541	602	100	445	7847	890	6760	338	62	249	1399	1	30	4	1207	18	59	76	230	2	71	13	653	84	2042	307	119
Bacteria|Firmicutes|Clostridia|Clostridiales|Catabacteriaceae|Catabacter	61	195	21	0	0	0	0	9	30	245	1	0	0	16	0	1	0	0	29	0	0	1	39	18	11	4	0	0	1	0	40	21	0	0	54	13	8	11	2	17	31	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Christensenellaceae	4	2	43	136	17	0	29	5	13	2	6	32	9	22	8	0	12	10	10	0	25	0	10	8	8	0	0	0	6	17	38	14	0	49	21	15	12	19	0	16	1	0	0	0	0	5	11	1	65	0	0	0	0	13	26	0	3
Bacteria|Firmicutes|Clostridia|Clostridiales|Christensenellaceae|Christensenella	258	108	24	37	129	37	1668	1348	12	12	137	43	403	71	0	0	126	53	51	0	35	7	173	250	45	0	0	2	34	122	63	120	7	791	16	10	95	153	5	34	9	1	48	0	0	1	628	0	1	1	21	0	0	43	45	0	59
Bacteria|Firmicutes|Clostridia|Clostridiales|Christensenellaceae|unclassified-Christensenellaceae	250	60	737	189	141	8	182	236	85	220	595	65	217	160	0	0	31	5	193	0	46	1	52	145	300	1	1	5	188	71	170	130	16	110	214	66	55	50	0	419	8	0	0	0	0	1	0	0	0	2	0	0	0	8	72	0	19
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiaceae	112	0	58	1	1	0	1176	1	0	0	51	0	288	3	0	0	0	0	0	0	0	0	1	8	4	0	0	0	0	0	3	254	0	0	0	0	0	0	0	501	97	0	0	0	0	0	0	0	0	2	0	0	0	0	1333	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiaceae|Butyricicoccus	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiaceae|Clostridium	852	282	270	277	161	365	778	3535	118	515	3521	422	672	1788	175	7	971	635	787	23	73	9	1003	1265	394	24	54	10	129	848	2247	1290	31	89	247	113	711	67	334	586	738	14	12	119	2995	255	15	149	577	26	8	83	268	178	312	269	306
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiaceae|Sarcina	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	8802	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiaceae|unclassified-Clostridiaceae	73	7	6	1	0	0	1067	89	0	0	126	0	9	5806	0	0	0	0	0	0	642	2	200	201	14	0	0	0	0	0	48	107	3	0	0	0	0	0	0	63	27	1	0	0	1	0	0	0	3	0	1	0	0	0	2	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiales Family XI. Incertae Sedis|Anaerococcus	0	0	2	0	1	0	0	0	0	0	0	2	1	3	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiales Family XI. Incertae Sedis|Parvimonas	0	1	3	2	0	0	4	3	0	0	0	0	44	0	1	0	0	0	0	0	1	0	2	0	0	0	0	0	0	1	4	3	0	0	0	0	0	0	17	0	0	0	0	1	0	0	7	0	0	0	0	6	0	0	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiales Family XIII. Incertae Sedis|Mogibacterium	2	0	0	1	0	0	0	0	0	0	1	0	5	0	0	0	0	2	0	28	0	0	0	2	2	7	1	0	0	0	1	1	0	8	4	2	13	6	0	0	1	0	2	11	0	0	0	20	3	0	0	18	0	0	0	1	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Dehalobacteriaceae|Dehalobacterium	6	9	8	6	56	1	8	165	9	10	38	0	109	9	0	0	0	0	14	15	6	0	15	75	34	1	0	0	0	0	10	50	5	0	100	0	0	0	0	32	16	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Eubacteriaceae|Anaerofustis	0	2	4	2	2	0	1	6	0	0	0	0	7	7	1	0	2	5	2	0	0	0	0	0	4	0	0	0	1	1	3	0	0	0	16	0	0	12	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	7	0
