logFC	AveExpr	t	P.Value	adj.P.Val	B	star
g__SMB53	0.0154934807471894	0.0101501549874808	7.46897835865199	3.39059509030089e-09	6.44213067157169e-07	5.45608238328745	 * * *
g__Oscillospira	0.0812444740877094	0.0575764065319265	7.17241442251149	8.88165074575287e-09	8.43756820846523e-07	4.48659364357241	 * * *
g__Parabacteroides	0.00890476929828593	0.00598964985504586	6.77879813513413	3.21565019744479e-08	2.0365784583817e-06	3.19343386874429	 * * *
g__Mucispirillum	0.000787178950758335	0.000366177436129709	6.6469848770263	4.95581338235777e-08	2.35401135661994e-06	2.75932230192551	 * * *
g__Clostridium	0.0211761310331818	0.0155242507385985	6.51089890811651	7.75047091652989e-08	2.94517894828136e-06	2.31085237633329	 * * *
g__Coprococcus	0.0210307908357337	0.0149635116356468	6.33371825654312	1.3883360480135e-07	4.3963974853761e-06	1.72682704109726	 * * *
g__Roseburia	0.0474168943786516	0.0363173151534168	6.2550292203066	1.7988758813933e-07	4.88266310663895e-06	1.46750929483923	 * * *
g__[Ruminococcus]	0.0160037029881337	0.0120623215139953	5.94547245374317	4.98475147715224e-07	1.18387847582366e-05	0.44869725918627	 * * *
g__Anaerostipes	0.00558662385609391	0.00400353392571807	5.88596182443784	6.06303723903813e-07	1.27997452824138e-05	0.253229836908476	 * * *
no_match	0.201463838185592	0.175793218749262	5.62550697394337	1.42687821228965e-06	2.71106860335034e-05	-0.599886959777413	 * * *
g__Faecalibacterium	0.0825626329343524	0.0634971973969174	5.55422623013318	1.8026074727664e-06	3.11359472568741e-05	-0.832528370755869	 * * *
g__Sphingomonas	0.00524707204099452	0.00472686157637444	5.21803368537231	5.40494446999797e-06	8.55782874416346e-05	-1.92314998254433	 * * *
g__Dehalobacterium	0.00266322837327113	0.00141681981995837	5.18927825562179	5.93470800952051e-06	8.67380401391459e-05	-2.01583174626308	 * * *
g__Ruminococcus	0.0816169562105523	0.0585666492685064	5.10139618728607	7.89386434398106e-06	0.000107131016096886	-2.29839594649048	 * * *
g__Blautia	0.0334825748748726	0.024968585005421	4.7830120699854	2.20243046523944e-05	0.000278974525596995	-3.31207858343103	 * * *
g__Lachnospira	0.00703796987701828	0.00572431580534043	4.73005562308831	2.60883412631163e-05	0.000309799052499506	-3.47894176582496	 * * *
g__Allobaculum	0.00267375951355237	0.00120955787517846	4.64936631850868	3.37398585379188e-05	0.00036146927390549	-3.73211047919939	 * * *
g__Butyricicoccus	0.00374958047553847	0.00312838267795913	4.63281315685804	3.55632171947089e-05	0.00036146927390549	-3.78387973507905	 * * *
