logFC	AveExpr	t	P.Value	adj.P.Val	B	star
g__Prevotella	0.0406926038955062	0.025156376861355	5.87591145860491	1.19178670589375e-06	0.000226439474119813	-0.168161431488231	 * * *
g__Streptococcus	0.00714248834843972	0.00580653369337113	5.35133141282664	5.79234079520658e-06	0.000550272375544625	-1.74995608086863	 * * *
g__Paraprevotella	0.00414857947624219	0.00222184409018559	4.22748921557779	0.000164743885342022	0.00703484811264046	-5.06594267616953	 * *
g__Bacteroides	0.161740161916411	0.165493516024455	4.19885900003769	0.000179089590392263	0.00703484811264046	-5.14785170589676	 * *
g__Dialister	0.0208840353242433	0.017998361894775	4.15423855820641	0.000203923252065872	0.00703484811264046	-5.2751469894343	 * *
g__Odoribacter	0.00606018702486223	0.00567149688873426	4.03096512283098	0.000291399282580727	0.00703484811264046	-5.62441904829042	 * *
g__Actinomyces	0.00172061834238164	0.00175972423951858	4.02504213343027	0.000296419199767202	0.00703484811264046	-5.64110754849901	 * *
g__[Ruminococcus]	0.0182007239081916	0.0170080554087316	4.00950874241568	0.000309988949433785	0.00703484811264046	-5.68483202476231	 * *
g__Oscillospira	0.0990805276836124	0.0893980985886937	3.96325193764632	0.000354090967194154	0.00703484811264046	-5.81467162236047	 * *
g__Haemophilus	0.0040755972449919	0.0027488036289221	3.9419011078893	0.000376457998211482	0.00703484811264046	-5.87441252887964	 * *
g__Alistipes	0.0254699088692031	0.0225675002829373	3.9144220122127	0.0004072806802055	0.00703484811264046	-5.95112050256013	 * *
g__Lachnospira	0.00757119678755731	0.00728173075040755	3.88045348710747	0.000448794196398249	0.00710590810963894	-6.04565774847471	 * *
g__Aggregatibacter	0.00115232801805687	0.000622632876896281	3.81632318535181	0.000538683525669763	0.00787306691363499	-6.22324947222337	 * *
g__[Eubacterium]	0.00205541043421604	0.00158936755130339	3.74433542357294	0.000660468753822328	0.00822932250755566	-6.42116049496218	 * *
g__Veillonella	0.016236733412306	0.0125927145341273	3.73048014505183	0.000686797030930224	0.00822932250755566	-6.45907099011765	 * *
g__Granulicatella	0.0015636055427107	0.00145931068332993	3.72622747841423	0.000695080253167429	0.00822932250755566	-6.47069508811793	 * *
g__Butyricimonas	0.0174783616330604	0.0159029970238623	3.70576589597653	0.000736307803307612	0.00822932250755566	-6.52654493949152	 * *
g__Sphingomonas	0.00408795021153447	0.00471718777609849	3.5046171801519	0.00128997728408455	0.0133212918945107	-7.06824513622215	 *
g__Escherichia	0.00171999658269093	0.00167460363859913	3.49296241573047	0.00133212918945107	0.0133212918945107	-7.09920287171384	 *
g__Acinetobacter	0.00094529858713101	0.00075201830260089	3.36761746702558	0.00187777433041264	0.0175502611263047	-7.42896417672704	 *
g__SMB53	0.012817401394154	0.0142701301858018	3.35566869834815	0.00193976570343368	0.0175502611263047	-7.46008602683484	 *
g__Clostridium	0.0181345496435663	0.0197856938265005	3.32356107741802	0.0021162045084369	0.0181764446606447	-7.54343448890535	 *
g__Defluviitalea	0.000876349542730985	0.000686982701051486	3.30914860874302	0.00220030645892014	0.0181764446606447	-7.58071406728355	 *
g__Alloscardovia	0.000173789535975304	7.9446645017282e-05	3.27189087724615	0.002432783621214	0.0192595370012775	-7.67669503234477	 *
g__Christensenella	0.00136512841681355	0.000903798914244961	3.23338830613069	0.00269758137090951	0.0205016184189123	-7.77528078403873	 *
g__Janthinobacterium	0.00184878263245932	0.00197629645232993	3.1968393219781	0.00297420051305703	0.0217345422108014	-7.86828615703548	 *
no_match	0.141720290246353	0.174152501984797	3.15375926742714	0.00333493688735597	0.023468074392505	-7.97717193616538	 *
g__Butyricicoccus	0.00361963719173836	0.00369017783151557	3.13691099805098	0.00348702858228527	0.0236619796655072	-8.01953491796856	 *
g__Parabacteroides	0.00756763020810293	0.00829350571420227	3.11807278189128	0.00366487743937205	0.0240112659820927	-8.06675187459806	 *
g__Sutterella	0.00688043693035623	0.00782339181526508	3.04479754218407	0.00444186406340321	0.028131805734887	-8.24888168435508	 *
g__Pseudomonas	0.0013034003331885	0.00116742823989964	2.93999648521456	0.00582757281527029	0.0357173817710114	-8.50499025811944	 *
g__Lactobacillus	0.00634698118324469	0.00675679299810683	2.90225414330818	0.00641953036752679	0.0381159615571903	-8.59591336170705	 *
g__Oribacterium	0.000863958353447782	0.000421609226310113	2.8459199927532	0.00740891886456747	0.0426574116444794	-8.73029107817627	 *
g__Leptotrichia	0.000327504136270523	0.000149716176580811	2.82789804354717	0.00775445289953596	0.0433337073797598	-8.77293655828248	 *
g__Atopobium	0.000825041364298251	0.000525101844843193	2.78331226532103	0.0086751031796991	0.0470934172612237	-8.87771085577197	 *
g__Faecalibacterium	0.0586358890586513	0.0716246928768891	2.76513414307988	0.00907894541669685	0.0476796475146389	-8.92012654536409	 *
g__Sediminibacterium	0.000229184241065259	0.00010476993877269	2.75386615741941	0.00933799646739642	0.0476796475146389	-8.94632971140728	 *
g__Bulleidia	0.00126336885705971	0.000642695820844303	2.74545111596675	0.00953592950292778	0.0476796475146389	-8.9658538769398	 *
g__Lachnobacterium	0.00259663456356063	0.00260012420324045	2.7139290942143	0.0103125877171765	0.0502408119554754	-9.03864792544237	
g__Collinsella	0.00180050092162584	0.00192956033508989	2.67626070640702	0.0113176228506688	0.0537587085406769	-9.12491969283996	
g__Fusobacterium	0.000752527208839402	0.000654364943392903	2.64279444827024	0.0122859202529009	0.0569347523914921	-9.20090291248237	
