"","AIH","healthy"
"Acidaminococcaceae",25149,40210
"Actinomycetaceae",329,445
"Bacteroidaceae",290523,368158
"Bifidobacteriaceae",10700,26118
"Bradyrhizobiaceae",33,45
"Carnobacteriaceae",610,374
"Caulobacteraceae",386,543
"Christensenellaceae",2498,6776
"Clostridiaceae",10367,22161
"Comamonadaceae",260,528
"Coriobacteriaceae",1648,2379
"Dehalobacteriaceae",191,272
"Desulfovibrionaceae",252,2201
"Enterobacteriaceae",1196,3921
"Erysipelotrichaceae",27972,27027
"Eubacteriaceae",8469,16089
"Fusobacteriaceae",136,115
"Gemellaceae",64,38
"Lachnospiraceae",69507,128274
"Lactobacillaceae",3563,3617
"Methanobacteriaceae",253,1914
"Micrococcaceae",59,73
"Mogibacteriaceae",320,315
"Moraxellaceae",54,93
"Oscillospiraceae",63899,64329
"Oxalobacteraceae",581,876
"Pasteurellaceae",15232,1252
"Peptostreptococcaceae",41116,76684
"Porphyromonadaceae",74565,146740
"Prevotellaceae",142455,18147
"Pseudomonadaceae",145,257
"Rikenellaceae",195656,319707
"Ruminococcaceae",150812,267765
"Sphingomonadaceae",6201,8595
"Staphylococcaceae",47,90
"Streptococcaceae",4087,2435
"Sutterellaceae",4624,21246
"unclassified",11778,43646
"Veillonellaceae",109557,100921
"Verrucomicrobiaceae",47206,32072
"NA",17843,17354
