"","AIH","healthy"
"Acinetobacter",54,93
"Actinomyces",329,445
"Aggregatibacter",679,18
"Akkermansia",47206,32072
"Alistipes",195656,319707
"Anaerofilum",37,116
"Anaerofustis",25,41
"Anaerotruncus",154,128
"Atopobium",63,37
"Bacteroides",290523,368158
"Barnesiella",46075,111547
"Bifidobacterium",10700,26118
"Bilophila",120,782
"Blautia",24451,8123
"Bradyrhizobium",33,45
"Brevundimonas",67,72
"Butyricimonas",8889,11407
"Candidatus_Soleaferrea",586,3028
"Christensenella",1339,4105
"Clostridium",8527,13695
"Collinsella",1421,1965
"Coprococcus",2456,6522
"Dehalobacterium",191,272
"Dialister",74113,79287
"Dorea",2147,6645
"Eggerthella",15,94
"Erysipelatoclostridium",6843,232
"Eubacterium",8701,16256
"Faecalibacterium",9355,14873
"Fusicatenibacter",747,5898
"Fusobacterium",91,20
"Gemella",64,38
"Gemmiger",2756,40771
"Granulicatella",610,374
"Haemophilus",14409,1216
"Holdemania",64,136
"Intestinibacter",10788,21976
"Intestinimonas",242,871
"Kluyvera",55,3068
"Lachnoclostridium",2115,5294
"Lactobacillus",3563,3617
"Lactococcus",319,353
"Massilia",363,536
"Megasphaera",149,13
"Methanobrevibacter",253,1914
"Odoribacter",5879,16879
"Oscillibacter",63899,64329
"Oscillospira",4692,4195
"Oxalobacter",218,340
"Parabacteroides",5552,6430
"Paraprevotella",3800,2863
"Parasutterella",1605,19461
"Pelomonas",260,528
"Phascolarctobacterium",25149,40210
"Phenylobacterium",319,471
"Prevotella",138655,15284
"Pseudomonas",145,257
"Roseburia",23692,52432
"Rothia",59,73
"Ruminococcus",45441,76182
"Shigella",1141,853
"Slackia",95,100
"Sphingomonas",6201,8595
"Staphylococcus",47,90
"Streptococcus",3768,2082
"Sutterella",3019,1785
"Terrisporobacter",4920,8778
"Turicibacter",18921,24109
"Tyzzerella",945,1097
"unclassified",139280,246938
"Veillonella",35295,21621
"NA",30003,45842
