"Species","log2FC","lfcSE","Pvalues","FDR"
"OTU516|NN=Prevotella_copri_AB064923|D=96_6",-8.087,0.84046,6.4494e-22,1.4318e-19
"Paraprevotella_clara",-5.7221,0.99062,7.6371e-09,8.4772e-07
"OTU126|NN=Alistipes_marseilloanorexicus_JX101692|D=90_9",5.9543,1.0574,1.7883e-08,1.3233e-06
"OTU1028|NN=Ruminococcus_gnavus_JN713312|D=95_6",-5.9975,1.0785,2.6854e-08,1.4904e-06
"OTU1482|NN=Veillonella_atypica_X84007|D=96_9",-4.1668,0.77764,8.4031e-08,3.731e-06
"Haemophilus_parainfluenzae",-3.8565,0.80785,1.8075e-06,5.9672e-05
"Bacteroides_plebeius",-5.4291,1.1392,1.8815e-06,5.9672e-05
"Streptococcus_infantis",-2.463,0.56944,1.5227e-05,0.00042255
"OTU1678|NN=Veillonella_dispar_GQ422726|D=94_9",-4.8505,1.2275,7.7614e-05,0.0018682
"OTU407|NN=Soleaferrea_massiliensis_JX101688|D=87_4",3.5865,0.91207,8.4155e-05,0.0018682
"OTU1087|NN=Blautia_glucerasea_AB588023|D=93",2.7722,0.76667,0.00029932,0.0060409
"Streptococcus_anginosus",-3.1039,0.89408,0.00051728,0.0090294
"Alistipes_obesi",2.2929,0.6616,0.00052875,0.0090294
"OTU1033|NN=Ruminococcus_bromii_DQ882649|D=88",2.3425,0.69611,0.00076491,0.012129
"OTU916|NN=Eubacterium_siraeum_EUBRRDV|D=93_2",3.3592,1.0229,0.0010233,0.015145
"OTU790|NN=Barnesiella_intestinihominis_AB370251|D=84_6",-3.3292,1.0732,0.0019212,0.026365
"OTU1196|NN=Christensenella_minuta_AB490809|D=86_5",3.4589,1.1203,0.002019,0.026365
"OTU260|NN=Clostridium_clostridioforme_AY169422|D=94_1",2.0581,0.70641,0.0035742,0.044082
