"","log2FC","lfcSE","Pvalues","FDR"
"OTU516|NN=Prevotella_copri_AB064923|D=96_6",-8.1953,0.86602,2.9877e-21,1.0905e-18
"Streptococcus_1",-4.4836,0.6527,6.4484e-12,1.1768e-09
"Paraprevotella_clara",-6.3883,0.98688,9.5912e-11,1.1669e-08
"OTU126|NN=Alistipes_marseilloanorexicus_JX101692|D=90_9",6.2119,1.0652,5.4951e-09,5.0143e-07
"Prevotella",-6.4873,1.1543,1.9088e-08,1.3935e-06
"OTU1482|NN=Veillonella_atypica_X84007|D=96_9",-4.2308,0.7584,2.4246e-08,1.475e-06
"OTU1028|NN=Ruminococcus_gnavus_JN713312|D=95_6",-6.0448,1.0918,3.0861e-08,1.6092e-06
"Streptococcus_infantis",-3.0731,0.59235,2.1264e-07,9.7015e-06
"Bacteroides_plebeius",-5.7212,1.1625,8.5969e-07,3.4865e-05
"Haemophilus_parainfluenzae",-3.7884,0.81026,2.9318e-06,0.00010701
"OTU293|NN=Clostridium_glycyrrhizinilyticum_AB233029|D=91_2",3.5897,0.80387,7.9859e-06,0.00026499
"Streptococcus_anginosus",-3.89,0.92341,2.5244e-05,0.00076783
"OTU1033|NN=Ruminococcus_bromii_DQ882649|D=88",3.046,0.75566,5.5552e-05,0.0015597
"OTU407|NN=Soleaferrea_massiliensis_JX101688|D=87_4",3.6642,0.92929,8.0452e-05,0.0020975
"OTU1678|NN=Veillonella_dispar_GQ422726|D=94_9",-4.7134,1.2319,0.00013015,0.003167
"Gemmiger",2.9936,0.7864,0.00014083,0.0032128
"Streptococcus",-2.1993,0.58123,0.00015438,0.0033147
"Lachnospiraceae",2.131,0.56858,0.00017833,0.0036161
"OTU1087|NN=Blautia_glucerasea_AB588023|D=93",2.8115,0.76488,0.00023713,0.0045553
"Bacteroides_1",-3.8762,1.063,0.00026588,0.0048524
"OTU516|NN=Prevotella_copri_AB064923|D=96_6_1",-4.3981,1.2419,0.00039806,0.0069186
"Eubacterium_1",1.9465,0.55464,0.00044883,0.0074465
"OTU916|NN=Eubacterium_siraeum_EUBRRDV|D=93_2",3.4675,1.042,0.00087564,0.013721
"Alistipes_obesi",2.2106,0.66815,0.00093779,0.013721
"OTU790|NN=Barnesiella_intestinihominis_AB370251|D=84_6",-3.5616,1.0767,0.00093978,0.013721
"OTU1196|NN=Christensenella_minuta_AB490809|D=86_5",3.5998,1.1418,0.0016181,0.022716
"unclassified_16",3.2327,1.0321,0.0017357,0.023465
"Paraprevotella_clara_1",-3.8859,1.2571,0.0019942,0.025996
"OTU392|NN=Aggregatibacter_aphrophilus_EF605278|D=95_1",-3.5062,1.1445,0.0021879,0.027538
