"","log2FC","lfcSE","Pvalues","FDR"
"OTU516|NN=Prevotella_copri_AB064923|D=96_6",-8.2212,0.86825,2.834e-21,1.0344e-18
"Streptococcus_1",-4.4991,0.65354,5.8084e-12,1.06e-09
"Paraprevotella_clara",-6.4187,0.99044,9.1314e-11,1.111e-08
"OTU126|NN=Alistipes_marseilloanorexicus_JX101692|D=90_9",6.2502,1.0689,4.9973e-09,4.56e-07
"Prevotella",-6.5325,1.1586,1.7162e-08,1.2528e-06
"OTU1482|NN=Veillonella_atypica_X84007|D=96_9",-4.22,0.75951,2.7579e-08,1.5258e-06
"OTU1028|NN=Ruminococcus_gnavus_JN713312|D=95_6",-6.0777,1.0959,2.9262e-08,1.5258e-06
"Streptococcus_infantis",-3.0751,0.59175,2.0285e-07,9.2551e-06
"Bacteroides_plebeius",-5.7624,1.1678,8.0366e-07,3.2593e-05
"Haemophilus_parainfluenzae",-3.7846,0.81116,3.0755e-06,0.00011225
"OTU293|NN=Clostridium_glycyrrhizinilyticum_AB233029|D=91_2",3.5985,0.80652,8.127e-06,0.00026967
"Streptococcus_anginosus",-3.9171,0.92916,2.4899e-05,0.00075734
"OTU407|NN=Soleaferrea_massiliensis_JX101688|D=87_4",3.6656,0.93263,8.4811e-05,0.0023812
"OTU1678|NN=Veillonella_dispar_GQ422726|D=94_9",-4.7314,1.2387,0.00013367,0.0033148
"Gemmiger",3.0028,0.78711,0.00013623,0.0033148
"Streptococcus",-2.1998,0.58139,0.00015449,0.0035243
"Lachnospiraceae",2.1302,0.56831,0.00017802,0.0038221
"OTU1087|NN=Blautia_glucerasea_AB588023|D=93",2.8103,0.76659,0.00024636,0.0049956
"Bacteroides_1",-3.8807,1.0657,0.00027104,0.0052069
"OTU516|NN=Prevotella_copri_AB064923|D=96_6_1",-4.4399,1.2471,0.00037078,0.0067667
"Eubacterium_1",1.9365,0.55602,0.00049627,0.0086256
"OTU1033|NN=Ruminococcus_bromii_DQ882649|D=88",2.3703,0.70178,0.0007312,0.012131
"OTU916|NN=Eubacterium_siraeum_EUBRRDV|D=93_2",3.4714,1.0446,0.00089058,0.01358
"OTU790|NN=Barnesiella_intestinihominis_AB370251|D=84_6",-3.5869,1.0797,0.0008929,0.01358
"Alistipes_obesi",2.2048,0.66938,0.00098833,0.01443
"OTU1196|NN=Christensenella_minuta_AB490809|D=86_5",3.6108,1.1479,0.0016581,0.023277
"unclassified_16",3.2389,1.0357,0.0017641,0.023847
"Paraprevotella_clara_1",-3.9043,1.2643,0.002015,0.026267
"OTU392|NN=Aggregatibacter_aphrophilus_EF605278|D=95_1",-3.5151,1.1496,0.0022299,0.028067
"OTU84|NN=Robinsoniella_peoriensis_AF445258|D=93_1",2.4398,0.80249,0.0023631,0.02875
"OTU1337|NN=Desulfovibrio_desulfuricans_DVURRDA|D=89_2",2.8165,0.95335,0.0031338,0.036898
"Ruminococcaceae_18",-3.1503,1.0941,0.003985,0.044549
"Fusicatenibacter_saccharivorans",1.8857,0.65568,0.0040277,0.044549
