"","AIH049","AIH050","AIH051","AIH053","AIH054","AIH055","AIH056","AIH057","AIH060","AIH061","AIH062","AIH063","AIH064","AIH065","AIH066","AIH076","AIH081","AIH082","AIH083","AIH027","AIH031","AIH040","AIH046","AIH058","AIH068","AIH018","AIH023","AIH033","AIH035","AIH043","AIH047","AIH052","AIH059","AIH069","AIH071","AIH072","AIH001","AIH002","AIH003","AIH005","AIH006","AIH007","AIH009","AIH020","AIH021","AIH022","AIH026","AIH029","AIH030","AIH032","AIH036","AIH037","AIH039","AIH042","AIH070","AIH074","AIH077"
"Acinetobacter",0,2,6,14,6,4,1,30,0,0,7,4,2,5,2,5,0,5,0,0,0,0,8,0,0,2,0,0,8,0,2,2,3,11,1,0,14,6,0,1,1,2,0,0,1,7,0,0,7,0,0,1,0,0,17,0,1
"Actinomyces",46,1,6,31,19,10,1,6,17,12,2,18,55,74,12,11,31,82,11,20,5,6,4,15,51,27,12,0,24,0,8,5,24,22,18,5,62,4,2,10,7,0,1,258,71,2,5,113,8,1,12,42,36,3,8,27,11
"Akkermansia",19,6615,1378,185,12890,31,60,2108,2084,561,2002,598,287,110,1197,6,0,3,1938,15,2,13,8,3480,18,120,25480,57140,1043,0,4702,25440,552,11800,1,1675,7,16,13,3903,9,16,1,1,8,15,0,3,141,13,0,6,8,3921,6,4,9123
"Alistipes",5808,15192,39387,14302,22894,27028,34217,15495,12498,1287,5501,15798,35469,17388,27582,2466,13145,301,2128,363,39334,289,4196,15281,6463,4006,7,12419,15074,9035,16109,10952,9404,21751,41525,3423,31821,11498,26276,15728,188,10,1230,2,68,3334,5151,29,7450,63,20139,3491,10249,15302,10782,606,12286
"Anaerofilum",3,4,0,26,0,0,1,19,7,9,1,3,0,41,0,0,0,0,2,0,0,1,0,3,4,0,0,0,2,0,3,5,0,18,0,2,1,16,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,9
"Anaerotruncus",0,2,82,0,3,8,0,0,3,0,4,2,0,2,1,1,18,1,1,13,0,1,4,0,0,1,0,38,1,0,117,23,3,0,0,0,0,20,0,10,0,0,2,0,0,0,0,0,0,0,0,0,8,3,0,3,0
"Atopobium",0,0,2,3,5,5,0,0,0,0,0,0,11,0,0,4,6,0,1,1,0,1,0,0,0,7,1,0,6,0,8,0,0,6,2,1,56,9,3,2,10,0,0,6,12,2,0,16,0,0,5,3,14,1,0,6,0
"Bacteroides",9829,30901,13280,9506,22609,24022,15016,4404,14669,12423,1502,27863,13566,9113,28150,90389,18452,8121,12883,5023,7745,182,2278,7478,8280,29037,25466,18660,2986,3185,14481,5418,11137,14271,20709,312,14000,13482,14627,9320,135,30,441,2122,48745,81572,23111,25371,3064,26430,4788,8612,23416,29144,14564,52355,6148
"Barnesiella",809,10531,1205,5669,2370,90,11228,217,17817,640,1968,1218,26514,9136,15843,168,4349,1253,427,50,0,287,45,10644,1099,11,0,110,3298,4684,4849,6235,5141,243,3,72,8033,812,2973,11081,612,7,38,0,287,6,707,7,497,12,6547,2,400,4038,2314,613,35
"Bifidobacterium",1754,7,121,327,428,2,28,407,161,291,111,32,186,366,343,2,114,12773,8665,47,0,7,57,191,229,13,6,28,9,443,143,369,26,207,267,6,105,4,26,90,70,10,156,32593,24,7710,4065,2915,1192,19,94,513,51,1838,917,53,274
"Bilophila",227,35,4,13,11,0,6,21,0,377,29,0,12,23,10,0,14,0,0,48,0,1,0,4,67,0,0,20,8,2,1,10,0,4,0,0,5,16,10,4,5,0,6,0,5,0,2,0,0,64,0,8,8,0,10,0,0
"Blautia",1348,100,131,335,99,22,204,150,111,648,151,765,154,49,660,7,142,2712,252,16,174,50,49,67,480,168,11,80,162,42,44,76,160,224,139,41,86,151,13,65,17,4,35,964,5622,16694,30,462,20,7,99,47,267,5085,147,2602,46
"Bradyrhizobium",0,0,0,6,0,3,0,0,0,0,0,30,0,0,0,4,2,0,0,4,0,0,2,0,0,4,0,1,0,1,0,0,2,0,0,0,4,0,9,0,1,0,1,0,12,5,0,0,5,3,3,5,4,2,2,1,0
"Brevundimonas",2,2,2,4,3,1,0,20,5,0,4,4,0,0,0,0,2,0,0,0,0,0,0,0,1,3,0,0,2,1,3,2,0,0,0,0,0,1,0,4,5,0,1,0,0,1,0,0,0,4,0,0,1,1,10,8,1
"Butyricimonas",1306,256,812,581,3319,0,649,0,1564,55,131,287,1081,310,0,4,548,0,504,61,0,39,88,141,971,5,0,1747,110,934,579,906,185,1254,1,58,6389,1283,492,0,238,0,140,0,2,0,177,0,2,0,2682,0,0,94,1080,152,0
"Candidatus_Soleaferrea",641,5,1,3,47,0,542,164,57,272,5,0,429,2,1,12,427,221,199,0,0,1,128,178,1,2,2,48,0,2,11,28,74,63,169,61,7,0,2,11,3,1,0,0,10,44,0,15,3977,1,0,0,3,61,0,0,79
"Christensenella",7,13,5,36,53,30,1666,32,8,10,25,21,65,43,0,0,126,53,44,0,31,7,169,82,23,0,0,2,34,52,55,34,6,772,16,6,95,127,5,31,6,0,48,0,0,1,627,0,1,0,21,0,0,43,45,0,59
"Clostridium",470,49,184,255,151,303,64,3184,106,268,3189,294,376,1096,173,5,477,625,679,16,56,8,866,415,187,24,16,10,127,598,2206,625,30,72,247,8,689,55,325,186,434,1,10,115,2884,250,15,90,53,10,7,76,234,148,289,261,209
"Collinsella",341,16,83,303,63,10,34,7,3,399,51,33,507,56,0,0,6,0,53,218,0,1,54,20,183,15,0,1,54,83,703,5,4,27,35,0,24,10,37,6,20,0,9,1648,1,6,113,674,69,0,1,0,28,4103,255,56,20
"Coprococcus",539,1199,289,24,24,91,29,264,398,965,74,574,143,136,50,80,624,370,649,13,962,7,35,743,597,11,0,1,18,314,168,89,39,133,30,3,35,73,1866,38,85,2,4,0,10,18,68,195,1609,9,0,44,197,180,82,76,48
"Dehalobacterium",4,0,8,0,22,0,5,52,2,6,33,0,86,0,0,0,0,0,6,0,0,0,7,15,18,0,0,0,0,0,0,48,3,0,93,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dialister",2100,4,4726,30,1293,17610,42,10645,1693,0,15640,3,1248,4164,4745,24,4307,5283,5730,148,16650,1535,6456,3,1643,1493,540,13,24902,13483,83,2007,603,7117,54,5,4015,8,68,14823,20490,1998,42010,56,11,59,37,733,35,859,54,54,21426,17350,44,40,30330
"Dorea",596,104,23,90,17,28,68,81,61,258,36,51,168,26,35,171,72,832,3928,27,51,4,17,65,556,50,0,0,53,28,33,28,20,39,58,6,13,49,49,54,39,1,23,1200,788,156,41,2,10,0,19,0,209,60,41,176,22
"Eggerthella",7,0,4,0,1,3,5,0,3,2,0,0,1,1,4,0,3,60,0,0,10,0,1,0,0,2,0,2,0,0,0,0,0,2,3,0,2,10,4,2,0,1,1,65,4,0,0,0,0,11,0,12,4,3,0,9,0
"Erysipelatoclostridium",1,9,7,16,6,0,1,17,7,0,0,2,6,4,3,52,0,9,0,0,3,0,1,1,0,0,4,0,4,2,0,6,5,5,0,0,0,0,41,0,1,0,0,17,5873,749,2,4,1,18,0,1,0,0,1,303,0
"Eubacterium",3137,444,310,1717,284,632,1305,443,624,1572,366,1528,960,395,190,2,876,568,728,205,421,23,281,2189,1336,271,94,13,165,74,305,304,77,1514,355,468,390,1276,845,627,147,0,32,289,7,45,68,184,108,4,31,772,337,570,1437,1782,1015
"Faecalibacterium",348,159,296,143,956,1002,36,583,75,284,3334,44,1274,606,162,2,3409,1944,216,10,8,63,123,1579,1811,313,63,3,841,245,34,98,32,50,34,34,213,9,79,736,528,1,73,14,5,19,421,22,808,3,562,6,69,440,3600,288,10
"Fusicatenibacter",1093,24,100,160,132,27,290,10,0,314,32,132,86,33,18,0,30,1038,2379,0,22,11,6,70,91,209,9,10,21,20,16,82,27,10,42,1,7,44,55,100,0,0,3,207,20,2,4,1395,56,0,11,2,71,21,44,424,2
"Fusobacterium",0,0,0,0,0,0,0,0,0,13,2,0,1,0,0,0,0,4,0,12,0,0,0,0,0,19,4,0,19,3,24,0,0,0,0,0,1,40,0,3,16,0,0,113,15,9,94,1965,0,9,0,43,2,0,0,0,0
"Gemella",5,0,0,0,4,0,1,5,0,1,0,1,7,1,1,12,0,0,0,15,0,0,0,0,0,6,1,0,4,3,0,5,4,19,1,0,2,2,13,6,0,0,0,13,12,0,0,15,0,0,1,14,0,3,9,5,0
"Gemmiger",619,177,1551,625,83,1377,976,465,386,750,350,0,6178,10410,0,1,673,14900,1250,3,0,8,270,25,55,254,0,1,507,131,367,1074,65,211,0,17,2258,1407,46,4825,6,0,32,0,2,6,26,2,468,13,11,0,38,10720,2,0,0
"Granulicatella",22,2,4,35,16,1,10,13,15,2,42,12,165,7,2,18,8,0,0,0,4,9,0,1,12,70,11,5,2,4,8,8,4,160,5,1,81,18,64,38,10,3,6,213,264,1,0,52,15,1,6,40,51,1,5,88,1
"Haemophilus",27,0,36,6,0,20,0,10,43,0,634,20,75,13,181,28,52,54,17,9,290,1,17,539,173,1189,22,0,2456,87,80,2,5,1,0,0,70,336,265,2,2414,0,3,397,1347,10,1087,17,150,5,244,6913,8236,4,39,1361,128
"Holdemania",0,0,0,7,8,0,0,6,7,7,1,11,4,3,2,78,0,2,0,0,5,0,0,0,4,56,0,3,1,2,0,0,0,0,1,1,0,8,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"Intestinibacter",194,59,1332,3790,2056,694,24,1181,15,59,22,122,219,3135,70,4,2025,5376,1599,3,18,19,1013,50,1490,3,12,2,133,1376,1322,878,55,1068,129,5,372,213,1271,0,64,3,116,0,1508,26,2,16,1053,7,43,2204,414,0,2274,983,1609
"Intestinimonas",2,4,0,1,3,12,8,14,9,6,0,104,5,8,4,682,7,0,2,676,22,1,10,0,0,5,0,11,3,0,22,7,0,13,24,0,6,0,3,3,0,0,0,0,1,144,0,0,6,1,0,0,22,0,0,0,8
"Kluyvera",0,1782,2,3,1,0,0,20,1161,0,2,0,1,0,0,14,0,82,0,5,7,3,6,0,6,0,12,0,0,0,4,0,0,9,0,1,10,0,0,0,37,2,2,0,0,28,0,2317,1,1225,0,0,5,2,0,0,0
"Lachnoclostridium",303,100,75,142,63,59,23,226,182,366,197,130,63,463,92,18,104,1373,1096,1803,15,8,24,51,294,117,13,24,46,10,63,60,24,58,10,5,42,40,98,123,33,0,13,78,392,80,22,1965,135,0,14,81,258,378,238,235,62
"Lactobacillus",402,94,433,315,359,35,78,924,86,51,115,103,189,84,78,16,65,176,14,4,25,4,13,78,158,41,0,14,7,62,22,128,48,2479,14,1,31,221,5,126,29,17,12,1003,288,8,66,1791,5,107,39,0,129,35,58,788,12
"Lactococcus",14,3,14,15,33,5,26,92,3,3,28,0,29,19,27,0,0,16,26,7,5,0,15,4,0,0,1,0,1,1,2,14,4,120,12,0,0,3,89,1,12,0,0,0,80,21,8,0,0,0,0,0,58,0,2,0,0
"Massilia",2,16,42,70,48,1,8,155,13,3,27,28,39,42,8,26,2,4,2,7,6,0,18,13,15,62,0,1,0,0,44,15,7,55,4,4,40,16,10,5,22,5,25,1,26,3,9,0,11,6,2,6,15,3,102,21,19
"Megasphaera",0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,9,0,0,26,1,0,0,0,0,91,1,0,4,6,4,0,1,2,0,3,0,4,1,0,178,0,0,86,1,30,36,4620,0,968,0,286,10,0,0,0,0
"Odoribacter",555,156,705,911,395,6727,768,226,1901,248,78,87,749,1071,277,1,58,1,1965,63,1012,10,36,590,477,442,0,362,143,795,358,358,56,465,642,50,717,714,456,567,19,0,455,0,598,34,304,0,79,1,196,0,669,458,46,208,309
"Oscillibacter",9189,5423,3313,2257,1324,4048,1840,5920,3104,8030,1322,1315,4297,3165,682,276,6303,450,2011,2085,225,1368,876,6560,13420,324,2,535,11293,1590,4584,3239,1448,10458,621,1462,862,2249,2192,2712,13593,2,237,3,51,96,450,590,6042,22,3315,32,2474,459,3044,180,418
"Oscillospira",269,114,58,197,226,244,53,277,287,351,146,137,431,73,97,371,343,398,123,466,126,9,197,426,163,307,120,160,169,255,50,125,78,352,299,82,114,241,152,521,95,0,90,2,6,16,55,210,151,8,28,165,2222,102,187,701,99
"Parabacteroides",370,329,215,244,713,0,263,350,48,833,54,369,103,717,562,13,648,1,598,299,0,6,13,532,806,4,53,8,24,5,508,24,691,248,1319,44,442,23,85,84,0,0,5,0,511,1,407,0,5,386,40,68,249,933,584,679,1974
