"","Pvalues","FDR","Statistics"
"OTU1337|NN=Desulfovibrio_desulfuricans_DVURRDA|D=89_2",3.6063e-05,0.0082247,23.236
"OTU506|NN=Christensenella_minuta_AB490809|D=83_8",6.2399e-05,0.0082247,22.093
"OTU916|NN=Eubacterium_siraeum_EUBRRDV|D=93_2",8.2522e-05,0.0082247,21.509
"unclassified_39",0.00014119,0.00982,20.386
"Clostridiales_54",0.00016421,0.00982,20.069
"OTU1033|NN=Ruminococcus_bromii_DQ882649|D=88",0.00024542,0.012149,19.227
"OTU383|NN=Clostridium_populeti_X71853|D=91_5",0.00028442,0.012149,18.917
"unclassified_4",0.00034055,0.012728,18.538
"Bacteroidales_5",0.00057757,0.016912,17.426
"Dialister_pneumosintes",0.00060686,0.016912,17.322
"OTU661|NN=Blautia_wexlerae_EF036467|D=94_9",0.00062217,0.016912,17.269
"Oscillospira_4",0.00083863,0.019179,16.638
"Lachnoclostridium_1",0.00088375,0.019179,16.528
"Lachnospiraceae_7",0.00089802,0.019179,16.494
"OTU694|NN=Clostridium_clariflavum_NR_102987_1|D=85_2",0.001108,0.022087,16.049
"OTU293|NN=Clostridium_glycyrrhizinilyticum_AB233029|D=91_2",0.0012471,0.022262,15.799
"Barnesiella_10",0.0012821,0.022262,15.74
"OTU1689|NN=Soleaferrea_massiliensis_JX101688|D=88_9",0.0013402,0.022262,15.646
"Bacteria_5",0.0015054,0.022628,15.399
"OTU1335|NN=Oscillibacter_valericigenes_AB238598|D=95_6",0.0015136,0.022628,15.388
"OTU342|NN=Clostridium_clariflavum_NR_102987_1|D=77_3",0.0016346,0.023274,15.224
"OTU1482|NN=Veillonella_atypica_X84007|D=96_9",0.0022356,0.030384,14.558
"OTU1339|NN=Clostridium_clariflavum_NR_102987_1|D=76_8",0.0024735,0.032156,14.343
"OTU1240|NN=OscillospiraClostridium_viride_X81125|D=86",0.0029348,0.034981,13.978
"unclassified_38",0.00303,0.034981,13.91
"Parabacteroides_goldsteinii",0.0030418,0.034981,13.902
"OTU902|NN=Prevotella_loescheii_AB547688|D=88_8",0.0035049,0.038814,13.599
"Streptococcus_1",0.0044657,0.047687,13.081
