	chao1	observed_otus	shannon	gini_index	observed_species
AIH055	799.975903614	565.0	1.91386288333	0.998420952552	565.0
AIH003	799.759036145	560.0	3.20026402872	0.99757436432	560.0
AIH030	752.95890411	542.0	3.74661754514	0.995957777012	542.0
AIH022	682.418918919	504.0	2.55871860751	0.998159650055	504.0
AIH060	1206.5	884.0	3.97717006951	0.994023890811	884.0
AIH005	1013.55445545	739.0	2.57557649009	0.996463250557	739.0
AIH051	1135.77777778	785.0	2.54920733413	0.996819988112	785.0
AIH021	645.754098361	445.0	1.93556427031	0.998137293953	445.0
AIH065	1079.0	812.0	4.358358873	0.994078262363	812.0
AIH046	874.086956522	574.0	1.44002134078	0.998150822819	574.0
AIH059	806.988636364	548.0	3.96958449175	0.995921610145	548.0
AIH002	895.0	680.0	4.00554778391	0.995126809446	680.0
AIH063	840.153061224	633.0	3.32150463024	0.996605705207	633.0
AIH081	1131.14285714	779.0	3.38660073897	0.995973462728	779.0
AIH039	932.155339806	672.0	4.58395588068	0.99360070175	672.0
AIH064	1194.85714286	846.0	3.08406456151	0.996026826917	846.0
AIH027	612.763888889	447.0	3.68450199174	0.99710818204	447.0
AIH058	1172.51162791	891.0	5.88082533116	0.986356086584	891.0
AIH026	799.172413793	575.0	3.12964888147	0.996394478665	575.0
AIH068	1250.0	860.0	5.27585495652	0.988045815992	860.0
AIH001	937.0	637.0	4.59488906375	0.994109392872	637.0
AIH054	1172.29661017	846.0	4.91464587609	0.990353361391	846.0
AIH007	195.12	150.0	1.19172636095	0.99933035058	150.0
AIH020	371.434782609	301.0	3.71870247892	0.996899267892	301.0
AIH043	844.0	598.0	4.64587476436	0.993466153969	598.0
AIH035	876.0	541.0	3.44672181217	0.996332386812	541.0
AIH047	914.471153846	670.0	3.97045505378	0.994745583955	670.0
AIH049	1171.72222222	892.0	4.16062080577	0.991219205533	892.0
AIH042	1012.49484536	676.0	4.33404845848	0.994484827243	676.0
AIH074	816.811111111	589.0	5.12833739162	0.993005974661	589.0
AIH071	1090.53921569	745.0	5.23340525922	0.99050553661	745.0
AIH056	1217.82644628	822.0	2.65729373872	0.997277964581	822.0
AIH082	704.514705882	529.0	3.68088017588	0.996003777554	529.0
AIH053	1198.57936508	845.0	5.05550969021	0.988881270716	845.0
AIH057	1110.55882353	841.0	5.47442608969	0.987550895728	841.0
AIH078	774.936708861	580.0	4.09155277031	0.994556904975	580.0
AIH050	1308.65671642	906.0	3.77263133499	0.994061424013	906.0
AIH031	757.613207547	581.0	4.64517902184	0.993711569135	581.0
AIH062	804.526315789	583.0	4.9902747347	0.992029213242	583.0
AIH079	732.989130435	575.0	3.79515147755	0.995124875756	575.0
AIH077	695.652173913	475.0	2.23892044002	0.997713127289	475.0
AIH018	765.058139535	565.0	4.91435993492	0.991725756695	565.0
AIH036	614.133333333	455.0	4.08347174483	0.995057508553	455.0
AIH069	1000.50909091	713.0	4.51665010332	0.993688073098	713.0
AIH061	1057.72727273	786.0	4.33949262447	0.992297810646	786.0
AIH009	521.8	379.0	4.19925658673	0.9952595509	379.0
AIH006	798.291666667	621.0	5.52335692783	0.990189566215	621.0
AIH037	494.375	353.0	4.61663079569	0.994134893053	353.0
AIH032	495.333333333	334.0	2.19943046366	0.998378237074	334.0
AIH052	902.2	679.0	4.46240913981	0.992409073396	679.0
AIH076	726.134328358	483.0	3.41777522455	0.996696870569	483.0
AIH072	467.372093023	333.0	3.91380234075	0.996207179357	333.0
AIH029	676.333333333	506.0	5.10962772615	0.993131313411	506.0
AIH083	1053.39784946	732.0	6.16726914968	0.986701175171	732.0
AIH086	483.285714286	388.0	4.99362162051	0.994188143441	388.0
AIH070	815.166666667	536.0	5.23276992185	0.991802039204	536.0
AIH023	424.56	298.0	1.32987994719	0.999005637335	298.0
AIH033	543.142857143	398.0	2.47999452372	0.997481058901	398.0
AIH066	1013.4375	660.0	4.99381626298	0.991758100238	660.0
AIH011	176.037037037	141.0	1.6302248	0.998318405863	141.0
AIH040	449.571428571	259.0	4.26262172235	0.995108819437	259.0
