"","Pvalues","FDR","Statistics"
"Alistipes_putredinis",0.00021759,0.037642,314
"OTU1358|NN=Oscillibacter_valericigenes_AB238598|D=91_3",0.00059859,0.051778,300.5
"OTU169|NN=Faecalibacterium_prausnitzii_X85022|D=96_7",0.003694,0.16585,286
"OTU156|NN=Oscillibacter_valericigenes_AB238598|D=95_3",0.0040647,0.16585,284
"Butyricimonas_virosa",0.005611,0.16585,271
"Dorea_longicatena",0.0057773,0.16585,281
"OTU255|NN=Anoxystipes_fissicatena_NR_104800_1|D=94_9",0.0067109,0.16585,266
"OTU521|NN=Papillibacter_cinnamivorans_AF167711|D=89_6",0.0081851,0.177,264
"OTU392|NN=Aggregatibacter_aphrophilus_EF605278|D=95_1",0.010702,0.19188,259.5
"Turicibacter_sanguinis",0.01116,0.19188,273
"OTU178|NN=Oscillibacter_valericigenes_AB238598|D=92_5",0.012201,0.19188,271
"OTU1147|NN=Clostridium_glycolicum_AY007244|D=96_3",0.015206,0.21922,269
"Barnesiella_intestinihominis",0.021471,0.28573,265
"Parabacteroides_goldsteinii",0.024234,0.29947,256
"OTU119|NN=Papillibacter_cinnamivorans_AF167711|D=91_1",0.026364,0.30406,259
"OTU174|NN=Anoxystipes_fissicatena_NR_104800_1|D=92_4",0.029251,0.3066,260
"OTU482|NN=Eubacterium_sulci_AJ006963|D=89_4",0.030787,0.3066,254
"OTU395|NN=Clostridium_bolteae_AJ508452|D=93_5",0.03381,0.3066,258
"OTU342|NN=Clostridium_clariflavum_NR_102987_1|D=77_3",0.034045,0.3066,255
"OTU152|NN=Oscillibacter_valericigenes_AB238598|D=94_3",0.037379,0.3066,257
"OTU808|NN=Eubacterium_ramulus_EUBRRDT|D=95_9",0.037575,0.3066,253
"OTU1226|NN=Oscillibacter_valericigenes_AB238598|D=94_8",0.038989,0.3066,250
"Intestinibacter_bartlettii",0.041163,0.30962,256
"Odoribacter_splanchnicus",0.043749,0.31535,255
"OTU798|NN=Oscillibacter_valericigenes_AB238598|D=90_1",0.047442,0.32082,251
"Coprococcus_eutactus",0.052723,0.32082,245
"OTU506|NN=Christensenella_minuta_AB490809|D=83_8",0.052723,0.32082,245
"Alistipes_marseilloanorexicus",0.053029,0.32082,251
"OTU1424|NN=Dorea_formicigenerans_EUBRRDP|D=96_7",0.057161,0.32082,251
"Fusicatenibacter_saccharivorans",0.057476,0.32082,251
"Parabacteroides_merdae",0.059299,0.32082,250
"OTU176|NN=Butyrivibrio_crossotus_FR733670|D=87_8",0.061709,0.32082,238
"Eubacterium_siraeum",0.062323,0.32082,246.5
"OTU80|NN=Eubacterium_desmolans_EUBRRDO|D=94_1",0.064464,0.32082,246
"Eggerthella_lenta",0.065541,0.32082,123.5
"Lactococcus_lactis",0.06676,0.32082,246
"OTU867|NN=Christensenella_minuta_AB490809|D=91_9",0.073954,0.32677,242
"OTU471|NN=Clostridium_lituseburense_CLORR16SC|D=96_6",0.074284,0.32677,247
"Bacteroides_uniformis",0.074328,0.32677,247
"OTU902|NN=Prevotella_loescheii_AB547688|D=88_8",0.075555,0.32677,240
"Sutterella_wadsworthensis",0.080267,0.33869,244
"OTU767|NN=Anoxystipes_fissicatena_NR_104800_1|D=93_6",0.08652,0.35638,242
"OTU206|NN=Oscillibacter_valericigenes_AB238598|D=95_4",0.094276,0.3793,243
"OTU58|NN=OscillospiraFlavonifractor_plautii_Y18187|D=95_5",0.099666,0.38321,234
"OTU1028|NN=Ruminococcus_gnavus_JN713312|D=95_6",0.099679,0.38321,126
"OTU60|NN=Ruminococcus_bromii_DQ882649|D=89_6",0.10457,0.38989,236
