"","Pvalues","FDR","Statistics"
"Oscillospiraceae",0.011252,0.43885,272
"Peptostreptococcaceae",0.025665,0.44424,262
"Veillonellaceae",0.043166,0.44424,113
"Erysipelotrichaceae",0.04967,0.44424,253
"Rikenellaceae",0.056954,0.44424,251
"Prevotellaceae",0.074112,0.44795,247
"Campylobacteraceae",0.095417,0.44795,134.5
"Actinomycetaceae",0.11268,0.44795,240
"Enterobacteriaceae",0.11961,0.44795,129
"Porphyromonadaceae",0.1277,0.44795,238
"unclassified",0.1277,0.44795,238
"Mogibacteriaceae",0.14178,0.44795,235
"Lactobacillaceae",0.14932,0.44795,235
"Ruminococcaceae",0.26283,0.68808,224
"Bacteroidaceae",0.28801,0.68808,222
"Caulobacteraceae",0.29732,0.68808,221
"Christensenellaceae",0.32053,0.68808,219
"Acidaminococcaceae",0.33081,0.68808,218.5
"Clostridiaceae",0.34299,0.68808,218
"Lachnospiraceae",0.35769,0.68808,217
"Moraxellaceae",0.3705,0.68808,214
"Sutterellaceae",0.43104,0.76411,212
"Pasteurellaceae",0.46612,0.79037,210
"Desulfovibrionaceae",0.52158,0.84757,206
"Sphingomonadaceae",0.58187,0.87529,204
"Fusobacteriaceae",0.58655,0.87529,166
"Oxalobacteraceae",0.63722,0.87529,201
"Micrococcaceae",0.66992,0.87529,169
"Pseudomonadaceae",0.67701,0.87529,199
"Bifidobacteriaceae",0.68237,0.87529,199
"Staphylococcaceae",0.70123,0.87529,197
"Gemellaceae",0.73174,0.87529,196
"Eubacteriaceae",0.74557,0.87529,196
"Comamonadaceae",0.80821,0.87529,193
"Coriobacteriaceae",0.81049,0.87529,193
"Bradyrhizobiaceae",0.8199,0.87529,192
"Verrucomicrobiaceae",0.8304,0.87529,192
"Carnobacteriaceae",0.92038,0.9446,188
"Streptococcaceae",0.96625,0.96625,186
