"","Pvalues","FDR","Statistics"
"Aggregatibacter",0.010702,0.17487,259.5
"Turicibacter",0.01116,0.17487,273
"Blautia",0.011252,0.17487,272
"Oscillibacter",0.011252,0.17487,272
"Dorea",0.013426,0.17487,271
"Terrisporobacter",0.015206,0.17487,269
"Barnesiella",0.026882,0.26498,262
"Intestinibacter",0.041163,0.3071,256
"Odoribacter",0.043749,0.3071,255
"Alistipes",0.056954,0.3071,251
"Fusicatenibacter",0.057476,0.3071,251
"Butyricimonas",0.057719,0.3071,250
"Faecalibacterium",0.06508,0.3071,249
"Eggerthella",0.065541,0.3071,123.5
"Lactococcus",0.06676,0.3071,246
"Prevotella",0.095154,0.36855,243
"Campylobacter",0.095417,0.36855,134.5
"Parabacteroides",0.10608,0.36855,241
"Shigella",0.10653,0.36855,127
"Paraprevotella",0.11075,0.36855,238
"Actinomyces",0.11268,0.36855,240
"Brevundimonas",0.11751,0.36855,235.5
"Anaerofilum",0.13879,0.41119,228
"Parasutterella",0.14302,0.41119,234
"Lactobacillus",0.14932,0.41211,235
"Gemmiger",0.1724,0.45752,232
"Intestinimonas",0.18666,0.47701,228
"Veillonella",0.27523,0.67612,145
"Bacteroides",0.28801,0.67612,222
"Christensenella",0.29691,0.67612,220.5
"Coprococcus",0.30376,0.67612,220.5
"unclassified",0.31473,0.67617,220
"Phascolarctobacterium",0.33081,0.67617,218.5
"Kluyvera",0.33364,0.67617,152
"Clostridium",0.34299,0.67617,218
"Acinetobacter",0.3705,0.70582,214
"Candidatus_Soleaferrea",0.37848,0.70582,215
"Phenylobacterium",0.3996,0.71039,214
"Roseburia",0.40408,0.71039,214
"Slackia",0.41182,0.71039,208
"Sutterella",0.42715,0.71887,212
"Collinsella",0.48298,0.79347,209
"Haemophilus",0.5018,0.80522,208
"Bilophila",0.52158,0.81124,206
"Senegalemassilia",0.52907,0.81124,202
"Sphingomonas",0.58187,0.84077,204
"Fusobacterium",0.58655,0.84077,166
"Allisonella",0.62959,0.84077,199
"Erysipelatoclostridium",0.6312,0.84077,201
"Massilia",0.63722,0.84077,201
"Ruminococcus",0.64138,0.84077,201
"Anaerotruncus",0.64813,0.84077,198.5
"Atopobium",0.6679,0.84077,199
"Rothia",0.66992,0.84077,169
"Pseudomonas",0.67701,0.84077,199
"Bifidobacterium",0.68237,0.84077,199
"Staphylococcus",0.70123,0.84886,197
"Gemella",0.73174,0.87052,196
"Oscillospira",0.76704,0.89528,195
"Lachnoclostridium",0.78619,0.89528,194
"Pelomonas",0.80821,0.89528,193
"Dialister",0.81049,0.89528,175
"Bradyrhizobium",0.8199,0.89528,192
"Akkermansia",0.8304,0.89528,192
"Granulicatella",0.92038,0.97702,188
"Megasphaera",0.94225,0.98508,181
"Eubacterium",0.96625,0.98875,186
"Tyzzerella",0.97718,0.98875,182.5
"Streptococcus",0.98875,0.98875,185
