"OTU","Pvalues","FDR","Ahealthy","Dzirrhose","LDAscore"
"OTU1337|NN=Desulfovibrio_desulfuricans_DVURRDA|D=89_2",8.913e-06,0.0017411,2922.59215902779,0,-3.17
"OTU506|NN=Christensenella_minuta_AB490809|D=83_8",1.5275e-05,0.0017411,97117.8083650054,462.437998776844,-4.68
"Clostridiales_51",2.1893e-05,0.0017411,696.846933662892,4.58470587965606,-2.54
"Firmicutes_11",2.5598e-05,0.0017411,2828.98136827062,0,-3.15
"unclassified_39",2.7902e-05,0.0017411,1419.72623755868,33.1277313327691,-2.84
"unclassified_4",5.003e-05,0.0023255,3777.03556143147,221.799537526452,-3.25
"Dialister_pneumosintes",5.846e-05,0.0023255,0,42769.9159518871,4.33
"Lachnospiraceae_7",6.2689e-05,0.0023255,1657.45065891066,13.7677091017721,-2.92
"Bacteroidales_5",6.7083e-05,0.0023255,4237.64164953894,5.61949605483279,-3.33
"Oscillospira_4",7.69e-05,0.0023993,1164.77787269993,9.16941175931211,-2.76
"OTU1033|NN=Ruminococcus_bromii_DQ882649|D=88",0.00014075,0.0036377,2356.36916243937,712.510524135144,-2.92
"Lachnoclostridium_1",0.00016589,0.0036377,6711.67889690224,1090.17350265846,-3.45
"Barnesiella_10",0.00017086,0.0036377,1894.68443723037,64.1858823151848,-2.96
"OTU383|NN=Clostridium_populeti_X71853|D=91_5",0.00018633,0.0036377,14402.9867961218,9018.12287574791,-3.43
"OTU1339|NN=Clostridium_clariflavum_NR_102987_1|D=76_8",0.00020248,0.0036377,13561.6102405903,71.4690809901708,-3.83
"Lachnospiraceae_43",0.00022282,0.0036377,647.619668655391,9.13362122507435,-2.51
"OTU694|NN=Clostridium_clariflavum_NR_102987_1|D=85_2",0.00022363,0.0036377,9378.17814727872,2181.39792701296,-3.56
"OTU1335|NN=Oscillibacter_valericigenes_AB238598|D=95_6",0.00022712,0.0036377,2837.27941440663,1163.72930882216,-2.92
"OTU407|NN=Soleaferrea_massiliensis_JX101688|D=87_4",0.00025238,0.0036377,18150.2538555402,115.345662359937,-3.96
"unclassified_38",0.00025574,0.0036377,651.728753499944,22.8877388640425,-2.5
"Bacteria_5",0.00025574,0.0036377,1124.93227761383,27.5490096663483,-2.74
"OTU1482|NN=Veillonella_atypica_X84007|D=96_9",0.0002697,0.0036377,114247.012501569,1381753.73998751,5.8
"OTU342|NN=Clostridium_clariflavum_NR_102987_1|D=77_3",0.00027382,0.0036377,17594.4200058831,1403.44111692081,-3.91
"OTU916|NN=Eubacterium_siraeum_EUBRRDV|D=93_2",0.00027983,0.0036377,17236.8993591127,3864.85887175474,-3.83
"OTU661|NN=Blautia_wexlerae_EF036467|D=94_9",0.00034788,0.0043143,27938.9223786127,4461.46368770004,-4.07
"Parabacteroides_goldsteinii",0.00035953,0.0043143,11616.9800549244,207.332198215029,-3.76
"OTU902|NN=Prevotella_loescheii_AB547688|D=88_8",0.0003781,0.0043692,8628.92667942977,1317.68094681035,-3.56
"unclassified_19",0.00042414,0.0047262,831.599158202503,57.388302498157,-2.59
"Megasphaera_1",0.00059653,0.0064178,20.7378312998162,45750.2219749318,4.36
"OTU1689|NN=Soleaferrea_massiliensis_JX101688|D=88_9",0.00075714,0.0078742,5141.33398508841,550.225061359133,-3.36
"Lachnospiraceae_12",0.00079075,0.0079585,520.313420999816,25.0993148514528,-2.4
"Streptococcus_anginosus",0.0011424,0.011139,62.6516710460034,4674.20344893943,3.36
"OTU1709|NN=Desulfitobacterium_frappieri_DFU40078|D=85_6",0.0012894,0.011969,1213.56026103349,119.191089803864,-2.74
"OTU1683|NN=Ruminococcus_bromii_DQ882649|D=90",0.0013213,0.011969,882.460550286602,366.874988938157,-2.41
"OTU18|NN=Ruminococcus_bromii_DQ882649|D=88_1",0.0013878,0.011969,3074.28552894107,2391.30043604147,-2.53
"OTU84|NN=Robinsoniella_peoriensis_AF445258|D=93_1",0.0014429,0.011969,4502.39491279162,192.91766042776,-3.33
"OTU857|NN=Eubacterium_sulci_AJ006963|D=90_2",0.001453,0.011969,2017.30540293369,154.506968264269,-2.97
"Streptococcus_1",0.0014578,0.011969,554.42738393599,14960.5136725774,3.86
"Clostridiales_2",0.001588,0.012481,1111.35877833495,394.386231815172,-2.56
"Dorea_longicatena",0.0016002,0.012481,35603.2131015423,5793.35788288451,-4.17
"OTU1524|NN=Anaerofilum_pentosovorans_X97852|D=90_6",0.0017683,0.013457,2775.32316986727,1340.11896855217,-2.86
"Clostridiales_9",0.0022565,0.016487,1219.18782086538,266.21373722729,-2.68
"unclassified_3",0.0022769,0.016487,19747.0097030569,1892.00222899656,-3.95
"OTU767|NN=Anoxystipes_fissicatena_NR_104800_1|D=93_6",0.0023251,0.016487,3183.56384651458,677.084222380199,-3.1
"OTU798|NN=Oscillibacter_valericigenes_AB238598|D=90_1",0.0025363,0.017585,65579.460925537,31299.6071426273,-4.23
"Turicibacter_sanguinis",0.0027391,0.018579,127590.691006767,49782.0422435933,-4.59
"OTU1592|NN=Christensenella_minuta_AB490809|D=88_2",0.0028647,0.019017,426.009460226787,272.090651611257,-1.89
"OTU175|NN=Roseburia_hominis_AB661434|D=94_3",0.0029935,0.019339,7206.16636789122,73.2427848940601,-3.55
"Clostridiales_20",0.0030372,0.019339,1219.31729860496,62.9296822357314,-2.76
"Alistipes_indistinctus",0.0033074,0.020638,13604.8645971745,6036.24341125367,-3.58
"Oscillospira",0.003466,0.021204,3780.78732499833,1669.97977198346,-3.02
"Alistipes_obesi",0.0039042,0.02267,336609.048535009,130652.640714641,-5.01
"OTU471|NN=Clostridium_lituseburense_CLORR16SC|D=96_6",0.0039194,0.02267,283239.291646126,104952.950494269,-4.95
"OTU60|NN=Ruminococcus_bromii_DQ882649|D=89_6",0.0039237,0.02267,3643.49749639871,487.81836339943,-3.2
"OTU869|NN=Papillibacter_cinnamivorans_AF167711|D=90_2",0.0040422,0.02293,8091.7422833297,257.758406784265,-3.59
"OTU1335|NN=Oscillibacter_valericigenes_AB238598|D=95_6_1",0.0042078,0.023138,963.391126338808,312.584561821164,-2.51
"Lactobacillus_salivarius",0.0042272,0.023138,9041.00156565116,5199.92140491646,-3.28
"Eubacterium_1",0.004439,0.023481,13316.3507830569,2765.64189884347,-3.72
"Holdemania_filiformis",0.0044609,0.023481,737.21700875478,82.2329278983907,-2.52
"OTU1337|NN=Desulfovibrio_desulfuricans_DVURRDA|D=89",0.0045156,0.023481,4931.65775714445,40.2881916979184,-3.39
"Streptococcus_infantis",0.0046123,0.023583,792.16033564456,8175.16727634509,3.57
"Clostridiales_6",0.0046863,0.023583,2501.69506242417,445.057110916792,-3.01
"OTU867|NN=Christensenella_minuta_AB490809|D=91_9",0.0051678,0.025593,2246.7768313744,1592.29758145271,-2.52
"OTU1536|NN=Eubacterium_ventriosum_EUBRRDAB|D=95_6",0.0056305,0.027449,11935.7423889249,10262.4763601203,-2.92
"OTU169|NN=Faecalibacterium_prausnitzii_X85022|D=96_7",0.0059304,0.028148,67658.2395893126,29366.7771819467,-4.28
"unclassified_24",0.0059544,0.028148,12548.0925878919,12778.1895558502,2.06
"OTU840|NN=Oscillibacter_valericigenes_AB238598|D=94_8",0.0060834,0.028329,1985.92611345335,439.963833382025,-2.89
"Lachnospiraceae",0.0064875,0.029335,57210.0205255407,38959.4844183805,-3.96
"Barnesiella_intestinihominis_1",0.0064875,0.029335,493114.789966623,57911.2507504117,-5.34
"Clostridiales_1",0.0067583,0.030123,11013.1381214257,4044.93762364932,-3.54
"Akkermansia_muciniphila",0.0070313,0.030898,179665.084974592,85480.1945673131,-4.67
"Megasphaera",0.0072164,0.031271,68.1990157011261,30028.6123201031,4.18
"Oscillibacter_1",0.0079333,0.033834,2264.43324503858,361.736813538769,-2.98
"Pasteurellaceae",0.0080247,0.033834,107.171251887985,1618.98893820045,2.88
"Bacteroides_uniformis",0.0082708,0.034407,852140.570411421,267920.765787967,-5.47
"unclassified_5",0.0088024,0.036136,2823.56367644231,63.0107873568078,-3.14
"OTU700|NN=Oscillibacter_valericigenes_AB238598|D=90_8",0.0091019,0.036827,1685.85708478719,1046.28985567874,-2.51
"OTU119|NN=Papillibacter_cinnamivorans_AF167711|D=91_1",0.0092066,0.036827,8764.31743197151,4112.22200006951,-3.37
"Fusobacterium",0.0093332,0.03686,149.061222342274,10926.5509434885,3.73
"unclassified_13",0.0095583,0.037277,446.110699108351,140.260619622826,-2.19
"OTU521|NN=Papillibacter_cinnamivorans_AF167711|D=89_6",0.010089,0.038337,1112.35290371137,285.347739205317,-2.62
"Clostridium",0.010199,0.038337,325.776502088967,204.692502623462,-1.79
"OTU206|NN=Oscillibacter_valericigenes_AB238598|D=95_4_1",0.010199,0.038337,1820.10529074159,1118.2571694575,-2.55
"Intestinimonas_butyriciproducens",0.010898,0.040478,4522.16112906903,835.004739195624,-3.27
"Clostridiales_21",0.011132,0.040862,888.636152056737,252.334757803087,-2.5
"OTU93|NN=Ruminococcus_bromii_DQ882649|D=96_3",0.011326,0.040915,278379.507727166,225496.655125161,-4.42
"OTU1552|NN=Catabacter_hongkongensis_AB671763|D=82_8",0.011409,0.040915,946.279990242408,133.353606901064,-2.61
"Eubacterium_eligens",0.012629,0.044355,13031.8341126652,12124.9740064368,-2.66
"Lactococcus_lactis",0.012763,0.044355,2039.42753859653,1317.4608727655,-2.56
"Christensenellaceae",0.012937,0.044355,739.918607331065,360.438554536854,-2.28
"OTU293|NN=Clostridium_glycyrrhizinilyticum_AB233029|D=91_2",0.012937,0.044355,9105.22810574435,2310.69093481922,-3.53
"Anaerofustis_stercorihominis",0.014418,0.048895,232.002242942703,128.305569129704,-1.72
