"","log2FC","lfcSE","Pvalues","FDR"
"OTU1028|NN=Ruminococcus_gnavus_JN713312|D=95_6",6.5111,0.93552,3.4073e-12,3.6976e-10
"OTU1482|NN=Veillonella_atypica_X84007|D=96_9",5.1259,0.73858,3.9128e-12,3.6976e-10
"Streptococcus_infantis",3.9275,0.62695,3.7421e-10,2.3575e-08
"OTU1337|NN=Desulfovibrio_desulfuricans_DVURRDA|D=89",-5.9611,0.99089,1.7888e-09,8.4519e-08
"Dialister_pneumosintes",7.2606,1.2199,2.6535e-09,1.003e-07
"Streptococcus_anginosus",5.0796,0.86981,5.225e-09,1.6459e-07
"OTU790|NN=Barnesiella_intestinihominis_AB370251|D=84_6",6.7489,1.2191,3.093e-08,8.3511e-07
"OTU506|NN=Christensenella_minuta_AB490809|D=83_8",-5.7248,1.0396,3.6604e-08,8.6476e-07
"Veillonella_rogosae",5.1187,0.95835,9.2351e-08,1.9394e-06
"Shigella_sonnei",4.5891,0.87351,1.4918e-07,2.8195e-06
"OTU175|NN=Roseburia_hominis_AB661434|D=94_3",-4.8133,0.94715,3.7378e-07,6.4222e-06
"Parabacteroides_goldsteinii",-4.698,0.97152,1.3269e-06,2.0898e-05
"Haemophilus_parainfluenzae",3.8547,0.85371,6.3254e-06,9.1961e-05
"OTU1339|NN=Clostridium_clariflavum_NR_102987_1|D=76_8",-4.704,1.1527,4.4876e-05,0.00060583
"OTU869|NN=Papillibacter_cinnamivorans_AF167711|D=90_2",-4.2336,1.1193,0.00015527,0.0019564
"OTU84|NN=Robinsoniella_peoriensis_AF445258|D=93_1",-2.952,0.7875,0.0001779,0.0021014
"OTU1000|NN=Bacteroides_vulgatus_BNRRR16SA|D=96_9",2.3596,0.63638,0.00020908,0.0023244
"OTU1074|NN=Papillibacter_cinnamivorans_AF167711|D=85_3",-4.5432,1.238,0.00024261,0.0025474
"OTU1678|NN=Veillonella_dispar_GQ422726|D=94_9",5.4823,1.5065,0.00027357,0.0026489
"OTU516|NN=Prevotella_copri_AB064923|D=96_6",3.5841,0.98659,0.00028031,0.0026489
"Phascolarctobacterium_succinatutens",4.3877,1.2269,0.00034866,0.0031379
"OTU1033|NN=Ruminococcus_bromii_DQ882649|D=88",-2.8326,0.82496,0.00059558,0.0051166
"OTU1683|NN=Ruminococcus_bromii_DQ882649|D=90",-3.5819,1.0514,0.00065738,0.005402
"Fusicatenibacter_saccharivorans",-2.2513,0.67178,0.00080451,0.0063356
"OTU1240|NN=OscillospiraClostridium_viride_X81125|D=86",-3.9442,1.1912,0.00092952,0.0070272
"OTU555|NN=Christensenella_minuta_AB490809|D=88_7",-3.7926,1.1618,0.0010972,0.0079761
"OTU867|NN=Christensenella_minuta_AB490809|D=91_9",-2.6129,0.83408,0.0017323,0.012126
"OTU1524|NN=Anaerofilum_pentosovorans_X97852|D=90_6",-2.8035,0.89844,0.0018058,0.012189
"Ruminococcus_callidus",-3.2155,1.0632,0.0024917,0.016239
"OTU855|NN=Roseburia_faecis_AY804149|D=95_5",-1.8723,0.63147,0.0030269,0.01907
"OTU252|NN=Rothia_aeria_AB753461|D=96_6",2.4169,0.81861,0.0031532,0.019224
"Granulicatella_adiacens",1.8893,0.64715,0.0035068,0.020712
"OTU342|NN=Clostridium_clariflavum_NR_102987_1|D=77_3",-2.4839,0.88497,0.0050033,0.028655
"Not_Assigned",0.98141,0.35954,0.0063406,0.035246
"OTU962|NN=Oscillibacter_valericigenes_AB238598|D=89_7",-3.4972,1.2979,0.0070516,0.038079
"OTU379|NN=Dialister_succinatiphilus_AB370249|D=96_3",-3.4533,1.2983,0.0078173,0.041041
"Eggerthella_lenta",2.1472,0.8134,0.0082967,0.042381
"OTU661|NN=Blautia_wexlerae_EF036467|D=94_9",-1.5468,0.58839,0.0085675,0.042612
"OTU1689|NN=Soleaferrea_massiliensis_JX101688|D=88_9",-2.3464,0.89842,0.0090102,0.043665
"OTU197|NN=Ruminococcus_albus_AY445596|D=93_7",-2.5669,0.99553,0.0099252,0.046896
